model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
gemini,C1a,react,nominal,none,0.6051969343275936,0.0140341511899799,0.7101798914222825,0.006945708041197,0.3030890924437119,0.0098433108818962,0.5217686915738948,0.0132536169718965,0.7316015696841086,0.7799918015752159,0.6320986008415835,0.2770957652094664,0.0210399579390505,0.0060123450409536,0.0107451423556939,0.0442685680219993,6338,3072,34.1,
gemini,C1a,react,ordinal,none,0.6128228197601978,0.0192860244266517,0.7108835446664961,0.0077325355044996,0.2928358550837941,0.0082468511598166,0.5213816592423446,0.0116473304559351,0.7360093269191117,0.7831123016213807,0.622176194438018,0.3099934560622808,0.0179208857549791,0.0069209643352981,0.0054292423501036,0.0618607824963949,6338,3072,104.5,
gemini,C1a,javascript,nominal,none,0.5437597442977846,0.0186762682874699,0.7710124658438777,0.006075075924283,0.2398236973999039,0.007900630199005,0.5108327535787363,0.0124873404477721,0.6812962863853167,0.8431509428096591,0.5446172627113327,0.1059744852848301,0.0184266140620045,0.0051927829797447,0.0199888320946567,0.0623225003733311,6338,3072,16.4,
gemini,C1a,javascript,ordinal,none,0.565085089270406,0.0139242222763074,0.7667842143620461,0.010886430561409,0.239191288694574,0.0105323704929875,0.4948892557832028,0.0220828560299966,0.688720016209696,0.8440094889988025,0.4913679676226515,0.2362428842504743,0.0172063122426871,0.0078859902766652,0.032870790930359,0.0445525874000427,6338,3072,106.0,
gemini,C1a,html_css,nominal,none,0.5978817175987816,0.028906029709535,0.8160982007993235,0.0063852721433019,0.1912283169712104,0.0050839215941936,0.6089837563208003,0.0128673085195206,0.7173043276464173,0.8709350711455162,0.6939541382698596,0.1093333333333333,0.0120742836843134,0.0049743375139801,0.0212528135000254,0.1134979197068288,6338,3072,15.7,
gemini,C1a,html_css,ordinal,none,0.603782195712433,0.038101176438338,0.8083568312057261,0.0114178200349586,0.1937527232166199,0.0113521656857834,0.5900175368798158,0.0247594601932412,0.7057063678675377,0.8679181955228626,0.6698531822328461,0.1716510372264847,0.0168074166278701,0.0083060971886399,0.020220983398399,0.1228197606174485,6338,3072,111.6,
gemini,C1b,react,nominal,concat,0.5689232616435883,0.0108073311572442,0.6931789109099172,0.0060107054554134,0.3251797011744378,0.0109835725162644,0.4928917320884823,0.0100404822067028,0.7238987154806196,0.7684786151820604,0.6136543526070464,0.169661363304627,0.0224158253461955,0.0078369478451536,0.0152750248867316,0.0472388358879745,6338,6144,30.1,
gemini,C1b,react,ordinal,concat,0.5938427920982507,0.0130927838357925,0.6856178539500435,0.0081937558963402,0.3262851715097388,0.0081633263615104,0.4803858063405808,0.0136510349723873,0.7247222073155903,0.7592061664441623,0.5853068643384765,0.3061359302947737,0.0222346884821975,0.0084401293756578,0.0139749989342209,0.0474405616804474,6338,6144,219.5,
gemini,C1b,react,nominal,average,0.5466825319321038,0.0118991887904167,0.6680593556650956,0.0088556367994148,0.3505818658048646,0.0104320188632962,0.4523528783413985,0.0140151671429239,0.6948968757837675,0.7445440253992672,0.5855421538599941,0.1617470726853863,0.0163023532745956,0.0121823592308,0.0137787857270638,0.045670924598105,6338,3072,21.3,
gemini,C1b,react,ordinal,average,0.5925745119196151,0.0087156440381852,0.684609532522918,0.0082292269099831,0.3275463787132225,0.0074628283985075,0.4784045642234218,0.0113358963578922,0.723750424434392,0.7566817258888131,0.5875075374758931,0.3023583598793616,0.0198634346444203,0.0110177174133304,0.014120681996298,0.0406247174117458,6338,3072,105.6,
