model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
qwen3-8b,C1a,react,nominal,none,0.8149228911466899,0.0111617891926304,0.8349521756189489,0.0093217893333515,0.1658235380528285,0.0088149033884272,0.629977580342963,0.0224206825739347,6338,4096,7.9,0.8745764996407812,0.7552692826525985,0.8841522995662998,0.7401362892390551,0.86534535741499,0.7714964370546318,0.0057956601260375,0.0166844901843056,"[0.7970687331536388, 0.8252249470712774, 0.8106180249201367, 0.8134622395468185, 0.8282405110415783]"
qwen3-8b,C1a,javascript,nominal,none,0.7739900669560059,0.0224053447787098,0.8855156244593931,0.0104681267387174,0.1156536093357467,0.0100083112187474,0.5481167545329407,0.0448226916765595,6338,4096,6.2,0.9319032462300602,0.6160768876819518,0.9364096472460408,0.6005789956040567,0.9275007224432776,0.6336955896728192,0.0057810278739007,0.039406627492536,"[0.7979218461146171, 0.7432266692138696, 0.7975866003701098, 0.7777227468722887, 0.7534924722091448]"
qwen3-8b,C1a,html_css,nominal,none,0.8237436637888036,0.0158814982612,0.8833250370664987,0.0101461258351857,0.1173885006187148,0.0099590778761808,0.6475804656445836,0.0317943677795983,6338,4096,6.1,0.9255858202677928,0.7219015073098143,0.9301522525120728,0.7098602831564639,0.921162514122614,0.7353612167300381,0.0062524613955831,0.0258598833274723,"[0.8299134226804309, 0.804609115501832, 0.8511254819636408, 0.817804745043551, 0.8152655537545634]"
qwen3-8b,C1b,react,nominal,concat,0.8117571521524978,0.0051756660971175,0.8318727732021053,0.0042478717135523,0.1691383306899977,0.004064462486061,0.6237207665168496,0.010440687106364,6338,8192,8.6,0.8716693129008597,0.7518449914041356,0.883710041035022,0.7332943124554215,0.8601474820043485,0.7719714964370545,0.0031648472582737,0.0084469685100544,"[0.805969227313567, 0.8143794320808608, 0.813917685628212, 0.8056118457179791, 0.8189075700218698]"
qwen3-8b,C1b,react,nominal,average,0.7984707720409974,0.0070517421839911,0.820960240810724,0.00614061743968,0.1792365781211486,0.0061264004169711,0.5970124825376175,0.0141270763324726,6338,4096,5.4,0.8654544429276319,0.7314871011543629,0.8678467963686856,0.7280954250149998,0.8632202098352968,0.7353919239904988,0.0047894931920953,0.0101973822448511,"[0.7976186104323508, 0.8071109513075465, 0.7946072567783093, 0.7878301323906876, 0.8051869092960925]"
qwen3-8b,C1b,javascript,nominal,concat,0.7516048917198063,0.0133217549831063,0.8735044228475649,0.0057183333140607,0.1284313774309765,0.0051374107941797,0.5034078647636615,0.0268043672156785,6338,8192,10.4,0.9242125740707998,0.5789972093688127,0.9306840640457767,0.5581057620608574,0.9178863276113546,0.6025760450807889,0.0029039035609224,0.0242222200779583,"[0.7585784120524036, 0.7308995038800679, 0.7673268297974734, 0.7595776649843122, 0.7416420478847741]"
qwen3-8b,C1b,javascript,nominal,average,0.7294750366864456,0.009503673721707,0.8622817180433637,0.0050644428752168,0.1397908320656111,0.0053130144404172,0.4590945678413601,0.0190130356618155,6338,4096,6.6,0.9175323406873648,0.5414177326855267,0.9235579122345572,0.522655672882539,0.9115960268184624,0.5617848312345466,0.0032178054297658,0.016030946666272,"[0.7160909644952065, 0.72356054101126, 0.7395342430945655, 0.7272531572904707, 0.7409362775407257]"
qwen3-8b,C1b,html_css,nominal,concat,0.8078263778608863,0.0096455741818155,0.8724787404760788,0.0066728748829308,0.1285909734861405,0.0072385772140184,0.6158055510888983,0.0192707935160504,6338,8192,12.3,0.9183366474991466,0.6973161082226257,0.9242764988791462,0.6825221068850492,0.9126023270103666,0.7140684410646388,0.0049540695290177,0.0152429115624588,"[0.8035117513702243, 0.8170961088932895, 0.8212101244591488, 0.7960723645342584, 0.8012415400475101]"
qwen3-8b,C1b,html_css,nominal,average,0.8030261521450539,0.0184279839412633,0.8695651084685277,0.0115503547418689,0.1312752247665191,0.0110707069043913,0.6061593683869366,0.0369281811389873,6338,4096,4.5,0.916762533505942,0.6892897707841659,0.9216728369736318,0.6766234903857989,0.912003924600107,0.7034220532319392,0.0068092488657261,0.0303494945013369,"[0.8153079280134651, 0.8014683689484485, 0.831085002463988, 0.7852673232634843, 0.782002138035884]"
qwen3-8b,C2a,react,nominal,none,0.8363449161301377,0.0067023192808963,0.854496647834338,0.006018064470561,0.1457877596548144,0.0061071167532598,0.6727178112053591,0.0134025945544396,6338,4096,7.2,0.8904072624565261,0.7822825698037491,0.8940536225265683,0.7762264625168784,0.8868388220419169,0.7885985748218527,0.0047633581952863,0.0088565580774778,"[0.8449446351316023, 0.8407368641406741, 0.8249746531492805, 0.8349162785540032, 0.8361521496751283]"
