model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
cohere,C1a,react,nominal,none,0.7829718648275938,0.00695202240869484,0.8059955728956684,0.006059133252373306,0.19533100620208696,0.006061605976276945,0.5661968594368354,0.013985497558847447,6338,1536,3.1,0.8515460999760419,0.7143976296791458,0.8647407629075159,0.6945353676183232,0.8388834462335429,0.7358669833729217,0.004768034580205794,0.01010458248332121,"[0.7856267472000954, 0.7812505369626164, 0.790635647188029, 0.7704284693773418, 0.7869179234098866]"
cohere,C1a,javascript,nominal,none,0.7126629619367282,0.005152870548168897,0.8503125814789303,0.0027634986354718055,0.15509748804274487,0.0038044115749134187,0.42622918342818783,0.010488611039788287,6338,1536,2.8,0.9075743694075822,0.5177515544658742,0.9229789438474757,0.47689181717127765,0.892729912229554,0.5671381749180611,0.002639343197385942,0.009754247654562209,"[0.7135060917322766, 0.7130545042224279, 0.7171021777832416, 0.7028944574783785, 0.7167575784673165]"
cohere,C1a,html_css,nominal,none,0.7898476308817787,0.010508903696504531,0.8594442423085304,0.006869086170784727,0.14279166116836264,0.006994874895692273,0.5799734773337528,0.021097026212687938,6338,1536,2.3,0.9088087546695377,0.67088650709402,0.9200971683420267,0.6431059902444068,0.8978680303660977,0.7019011406844106,0.004545369819363777,0.017040270973846677,"[0.8008530991772411, 0.7956898288016113, 0.7924791662747606, 0.7901152537036681, 0.7701008064516128]"
cohere,C1b,react,nominal,concat,0.7813269454787909,0.013407592462046978,0.804725785928935,0.011411898094986278,0.19643660102729069,0.010976386451136516,0.5628489562289556,0.026934313299919396,6338,3072,2.7,0.8510211416941356,0.711632749263446,0.8626309461407201,0.6938997256284793,0.8398310264847982,0.7306413301662709,0.007547159835779416,0.01947602952272679,"[0.7800688238885497, 0.7861790423545476, 0.7979177371534714, 0.7571859822287876, 0.7852831417685977]"
cohere,C1b,react,nominal,average,0.7598817683027896,0.00915543093334975,0.7856709843868303,0.007713077441179671,0.21552550922594665,0.007391491771312195,0.5199464871597869,0.01841594739558942,6338,1536,2.5,0.8366927782203077,0.6830707583852714,0.8471268596471292,0.6674097683163462,0.8266020246677888,0.6997624703087887,0.005106938041430321,0.013636282434465944,"[0.7451789826250785, 0.7640536785462244, 0.7725354189133182, 0.7554170826734307, 0.7622236787558961]"
cohere,C1b,javascript,nominal,concat,0.7133210438896296,0.017174697751424304,0.8539451447883166,0.006630834517686123,0.14831054753148973,0.005197262050539188,0.42699133494458863,0.03459299170021771,6338,3072,2.2,0.9124479164785141,0.5141941713007452,0.9192551330461599,0.49495212478614936,0.9058611096386759,0.537093899143235,0.002886392583040267,0.03253212342334201,"[0.6965934519150185, 0.6892156862745098, 0.7267444119818696, 0.7216341175942211, 0.7324175516825291]"
cohere,C1b,javascript,nominal,average,0.6849970665823892,0.016398297061841677,0.8356151860827505,0.007474736566614959,0.17055627068088508,0.007474040474370319,0.37112621908449517,0.03314703365606795,6338,1536,2.2,0.8982722980532747,0.47172183511150384,0.9144528794601483,0.4326326546010879,0.8827461736155167,0.5198723477660858,0.004571199571872529,0.029774822545967642,"[0.6783623423518894, 0.6700028144699082, 0.691125427801445, 0.6713232962788598, 0.7141714520098441]"
cohere,C1b,html_css,nominal,concat,0.7881246118167509,0.011299974833821785,0.8590505619057474,0.0070990213711743235,0.14247595477530817,0.007035610992450102,0.5764403787598412,0.022692681595071425,6338,3072,2.1,0.9093576664417595,0.6668915571917424,0.9171058370402136,0.6478025954299482,0.901849319141345,0.688212927756654,0.004527270897701941,0.018880979790324527,"[0.8012402109236374, 0.7771844388150064, 0.8025677967373523, 0.7799671682826599, 0.7796634443250985]"
cohere,C1b,html_css,nominal,average,0.7476335255148913,0.01676722764123509,0.8304574976393347,0.012230914098150499,0.17292593597733288,0.013418578599556688,0.4957604521807982,0.033279369790966,6338,1536,2.0,0.8892024872747697,0.6060645637550126,0.9029174711414629,0.5757949599404093,0.8759685635567184,0.6403041825095057,0.009136660076483876,0.024703871814840205,"[0.729903789165029, 0.7435389297112744, 0.7715207646652787, 0.7307612645690937, 0.7624428794637803]"
cohere,C2a,react,nominal,none,0.7931495093364533,0.009273401993494051,0.8155931645640221,0.008715996393074238,0.18523076693249413,0.009219824948241561,0.5864131455759104,0.018504002097392943,6338,1536,3.1,0.8599939641697498,0.7263050545031569,0.868114253737363,0.7137042950659842,0.8521144018242666,0.7396674584323041,0.007723214791835212,0.011042775016571915,"[0.805262253182178, 0.7818058178757352, 0.7830750679284304, 0.7955894543006715, 0.8000149533952514]"
