model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
gemini,C1a,react,nominal,none,0.8126850450983166,0.008674133620394476,0.8326061794052746,0.008277387951097222,0.16850542402505733,0.008811022002476184,0.6255559430833387,0.0171907504926839,6338,3072,6.3,0.8720169970981457,0.7533530930984879,0.8845578171270801,0.7337126503447099,0.8599138664902689,0.7743467933491687,0.0075465783558000205,0.009870780886838302,"[0.8005061905739106, 0.818932724249599, 0.8055730530782748, 0.8243642658363199, 0.8140489917534794]"
gemini,C1a,javascript,nominal,none,0.7694086811882821,0.013440424891536514,0.8823823414082932,0.006549572269028916,0.11959682700136191,0.006491506962791499,0.5390010214921925,0.02691148536031957,6338,3072,5.3,0.9293809113084288,0.6094364510681354,0.9363948875346015,0.5856893293417211,0.9225058607676537,0.6358691277097349,0.003854139757730197,0.023490232053715972,"[0.7615469522914027, 0.7860947102060489, 0.7719280335622998, 0.7794261570022397, 0.7480475528794195]"
gemini,C1a,html_css,nominal,none,0.8208578547037758,0.020638238452981125,0.88109260211397,0.014071106556244542,0.11991377829344263,0.014755814448653282,0.6419279891817067,0.04132251473097672,6338,3072,4.3,0.9238171251484999,0.7178985842590517,0.9297788307672393,0.7043667373185588,0.9181746645259755,0.7346007604562738,0.009689475006637516,0.032199152339077025,"[0.8248330013413367, 0.8012835820895523, 0.8572271661308608, 0.8202784587294775, 0.8006670652276517]"
gemini,C1b,react,nominal,concat,0.804798396284977,0.013944295219880222,0.8258064968239325,0.01225058341996266,0.1751341378700774,0.012167046508512178,0.6097216908776669,0.027939230827592833,6338,6144,6.5,0.8673685972570903,0.7422281953128635,0.8777276877891238,0.7257957244385801,0.8573117190138466,0.7596199524940618,0.008974591810633235,0.019054327155910655,"[0.8048876019416118, 0.8265691508189668, 0.7830750679284304, 0.8083584964309106, 0.8011016643049651]"
gemini,C1b,react,nominal,average,0.7801023652910771,0.008842319016926517,0.8042868212160552,0.007281031261246648,0.19627563558319783,0.0068054595097304296,0.5602998694116856,0.01773319504666029,6338,3072,5.5,0.8521306097598087,0.7080741208223454,0.8577778439150506,0.6994220691479888,0.8466781660205257,0.7173396674584323,0.004506278837107,0.013659787707690408,"[0.7764028078728783, 0.789864614211174, 0.7650269541778976, 0.7872603492489926, 0.7819571009444427]"
gemini,C1b,javascript,nominal,concat,0.7520039005261095,0.013615698404914103,0.8721520974383976,0.007154858434686277,0.1312727349684667,0.007626326624163213,0.5044279518444761,0.02720628779660949,6338,6144,6.7,0.9221326825847852,0.581875118467434,0.9333352480096743,0.5471169002740467,0.9112253150964141,0.6218848829854522,0.004642100786186209,0.02300987446495012,"[0.7536704879966358, 0.7457697454620058, 0.7765955811492322, 0.7356648895730614, 0.7483187984496125]"
gemini,C1b,javascript,nominal,average,0.7353716743308227,0.007266252144130607,0.8620005428771809,0.0024923195569952557,0.14310562470278035,0.00235139731257094,0.4716352460391521,0.015000887485213296,6338,3072,4.7,0.9146777189282517,0.5560656297333939,0.9307695912437115,0.5109021136566435,0.8992048849135033,0.6111666954171697,0.0016085614562871026,0.014526151013204553,"[0.736282522443457, 0.735566646286264, 0.745162216480046, 0.7372687084130891, 0.722578278031258]"
gemini,C1b,html_css,nominal,concat,0.804899917325249,0.014526399176766512,0.8695877237259207,0.010595934784468157,0.13237870326337833,0.011820052248695756,0.6101519272166348,0.029043673864573065,6338,6144,7.3,0.9154705095173835,0.6943293251331144,0.926183086558256,0.6691535800109354,0.9052329983548393,0.7239543726235741,0.00810869106989459,0.02171416816431469,"[0.8162520190435123, 0.7989078371894546, 0.820831155759441, 0.8085693649073931, 0.7799392097264437]"
gemini,C1b,html_css,nominal,average,0.7684470640188816,0.010898475603959009,0.8456149120615187,0.006937787466418697,0.15635944218564432,0.00725868892060387,0.5372112903355817,0.021977403266034597,6338,3072,4.4,0.9003490683455017,0.6365450596922619,0.9095731072676811,0.6154024841272638,0.8914988801014845,0.6608365019011406,0.0049682580187882025,0.01850096958272253,"[0.7775376150909499, 0.7584133164312448, 0.7796657133061884, 0.7740777889223225, 0.7525408863437033]"
gemini,C2a,react,nominal,none,0.8279126931084575,0.01617254646915034,0.8468793247126065,0.014113867444840998,0.1535144744409781,0.013952125750164829,0.6559167905386115,0.03238317515635171,6338,3072,5.0,0.8844006014467837,0.771424784770131,0.8900015254439575,0.7627134444759334,0.8790521964603203,0.7809976247030879,0.010235058498001048,0.02242860430423789,"[0.8279616338826865, 0.8211109435451869, 0.8081112463256702, 0.8572650901764826, 0.8251145516122607]"
gemini,C2a,javascript,nominal,none,0.7710712288810475,0.013338844015113179,0.8828721180659176,0.006919290694222666,0.11943772890580844,0.00709203633565354,0.5423564338454723,0.026678780782419906,6338,3072,5.3,0.9293874281063055,0.6127550296557895,0.9375397017506488,0.5851851090590081,0.9213966324738682,0.6434477603358058,0.004248118819414612,0.022664658163206616,"[0.748431756612955, 0.7779830583177864, 0.7728262529413957, 0.78874883286648, 0.7673662436666202]"
gemini,C2a,html_css,nominal,none,0.8349591332495019,0.013562255934063582,0.8897550646745932,0.008712806830132603,0.11186774690704837,0.008583109253863,0.6701159104405102,0.027191217513296326,6338,3072,4.7,0.9286228664051563,0.7412954000938473,0.9393960276493422,0.7124798301920352,0.9181762502229887,0.7733840304182509,0.005391572870244292,0.022006537703555984,"[0.8411914576892248, 0.8409242085787134, 0.8537273332812366, 0.822081176968395, 0.8168714897299394]"
gemini,C2b,react,nominal,concat,0.8282987324463343,0.014295280742146112,0.8470510923870682,0.012938014175105747,0.1535152213803938,0.013205462768387828,0.6566833307883292,0.028526070193443987,6338,6144,7.5,0.8841486183776567,0.772448846515012,0.8911179971704419,0.7612712401833137,0.8773967919035617,0.7843230403800475,0.01039365119139864,0.018439875177352245,"[0.8204253099524099, 0.8369730273687663, 0.8054431925690204, 0.8470384329310938, 0.8316136994103811]"
gemini,C2b,react,nominal,average,0.8023522139789568,0.008414026258954058,0.8240247665886488,0.007769785409320422,0.17655133092154895,0.00812922768892388,0.6047789592367676,0.016817187385955286,6338,3072,5.4,0.866900513308415,0.7378039146494987,0.8728700476523489,0.728405562479046,0.8610972951398483,0.7477434679334918,0.0066701302897734125,0.010457786576616892,"[0.7934376105171996, 0.8043717548247389, 0.7916230693223777, 0.8112336114421931, 0.8110950237882748]"
gemini,C2b,javascript,nominal,concat,0.7607003452519427,0.012354167082732317,0.8771875986082884,0.007098856958163859,0.12559138928241528,0.007874880438684685,0.521684714443309,0.02459074635683784,6338,6144,8.5,0.9256500960075907,0.5957505944962949,0.9349125529073857,0.5657651726317589,0.916587981621727,0.6294462653096429,0.004865958943910977,0.019987675341056013,"[0.7438467111251463, 0.7647292805351449, 0.7715404100176287, 0.7747955918947742, 0.7485897326870199]"
gemini,C2b,javascript,nominal,average,0.7312896718338351,0.014413375918103526,0.8624678333225921,0.0064513988051005024,0.14026352022587446,0.006284893988580878,0.4629570804752331,0.02896623613857397,6338,3072,4.7,0.9170421094545542,0.5455372342131157,0.9255115846649256,0.5206575000253515,0.9088209896703436,0.5746938071416249,0.003809612295123489,0.026387866702881447,"[0.7121418500728846, 0.717726104466436, 0.7371185316231756, 0.7515429402683343, 0.7379189327383443]"
gemini,C2b,html_css,nominal,concat,0.8192039472478593,0.00947680384770208,0.879364725850621,0.005870178662899943,0.12227995787261695,0.005745238255080789,0.638624873376987,0.019074945921285422,6338,6144,8.9,0.9220365742464456,0.7163713202492731,0.9319991852334362,0.6906663197573875,0.912402330974609,0.7452471482889733,0.003665330289462929,0.015976320193936827,"[0.8329511628900631, 0.8132002835184079, 0.8282540972504402, 0.8100655733068086, 0.8115486192735768]"
gemini,C2b,html_css,nominal,average,0.7894675765321992,0.012435269532292391,0.8592344892927095,0.009000260359756705,0.1429497633446951,0.00994276943269235,0.5792444122024227,0.02481372652904498,6338,3072,4.1,0.9087196188912021,0.6702155341731963,0.9195526783824363,0.64422578834908,0.8982648510435869,0.6996197718631179,0.006809198107294692,0.01869430234847222,"[0.7931899306159009, 0.782950236481835, 0.8119694770118905, 0.7767565647759928, 0.7824716737753767]"
gemini,C3,react,nominal,none,0.7659088885773921,0.015281246100192573,0.7909504305671365,0.013571664131869944,0.21031498435161922,0.013633386808333203,0.532003781523378,0.03055845118694328,6338,3072,7.2,0.8404891141765851,0.6913286629781992,0.8516531788577429,0.6744458866550753,0.8296750316092677,0.7092636579572447,0.010359069295698449,0.02046570288969343,"[0.7475348572987994, 0.7638203008640201, 0.7591492115177891, 0.7938272944239532, 0.765212778782399]"
gemini,C3,javascript,nominal,none,0.7154857052210319,0.020316561320694558,0.8526084950863918,0.010049622629563893,0.15194154452132386,0.010719256943458141,0.43178996419429005,0.04085434776853248,6338,3072,6.4,0.9096528749685842,0.5213185354734798,0.9230367789161728,0.48578386230530574,0.8968026113973335,0.5650106376861594,0.006592178137370351,0.035634300255968025,"[0.7170131889650406, 0.6920835356969403, 0.752668097082509, 0.7051742802445669, 0.7104894241161032]"
gemini,C3,html_css,nominal,none,0.7639890631185475,0.01463264192160789,0.8407787513310565,0.010670551384785445,0.16298566623261185,0.011774934469840074,0.5286270142793725,0.02911143058946168,6338,3072,5.6,0.8952432029862845,0.6327349232508105,0.9120394740935497,0.5953587287233945,0.879152841370835,0.6760456273764258,0.00804632244016967,0.021667240838398393,"[0.7415300620052712, 0.7624958941964977, 0.7847238805970149, 0.7575719550430604, 0.7736235237508933]"
gemini,C4,react,nominal,none,0.7778007137717239,0.011387499681665336,0.8013394868089131,0.010248623479761666,0.2000606265825779,0.01042823425216778,0.5558460838719637,0.022724318879211843,6338,3072,9.5,0.8479064257844433,0.7076950017590045,0.861193209297588,0.6876348907824992,0.8351079180866415,0.7292161520190024,0.00823120676353269,0.0149718219703217,"[0.7770523214602162, 0.7720021631777108, 0.7666856244354487, 0.7995676017717781, 0.7736958580134657]"
gemini,C4,javascript,nominal,none,0.7168477190224356,0.013725329830843482,0.8529612206623962,0.007813055783297227,0.15194079758190815,0.008794188000082102,0.4344330545124218,0.02728603462024312,6338,3072,7.9,0.9095855658952183,0.5241098721496529,0.9235655441224058,0.4859825089236402,0.8960584520733695,0.5692829624518428,0.005505384300095191,0.0224778801862378,"[0.70756690126844, 0.7016276553603841, 0.7397565040350056, 0.7106416367435171, 0.7246458977048313]"
gemini,C4,html_css,nominal,none,0.7346106556261478,0.014667716770100323,0.8206719962863873,0.009141386026455084,0.18381257796180153,0.00897782691878252,0.4700440773443238,0.029632902805610005,6338,3072,7.9,0.8817136513080872,0.5875076599442083,0.8998318838065942,0.5495944363106184,0.8644231036054787,0.6319391634980989,0.005679565556505557,0.024514620777859916,"[0.7540102392789878, 0.710522031370088, 0.7446122860020141, 0.7335290823921445, 0.7303796390875043]"
