model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
kalm-12b,C1a,react,nominal,none,0.8255646904471021,0.008623311375626294,0.8448864850530621,0.007702236174706808,0.15540896177911007,0.007849215844571036,0.6512353068261316,0.017203986618603655,6338,3840,5.3,0.8831110932167702,0.7680182876774342,0.8872143049382035,0.7620735082877199,0.8792872075270528,0.7748218527315915,0.006371987177777987,0.011808368349097813,"[0.8121783586132179, 0.8234075981790124, 0.8222830549484057, 0.8349783052389169, 0.8349761352559577]"
kalm-12b,C1a,javascript,nominal,none,0.7800377717992308,0.008167116779319444,0.8882104574562957,0.004644357540193006,0.11328643383735146,0.00542021396168111,0.5602101264606985,0.01626680748135835,6338,3840,4.3,0.9332098166102497,0.626865726988212,0.9386534581688977,0.6080720003929105,0.9278693822554251,0.647702834799609,0.003414843408363532,0.01345771539364371,"[0.7823773727388186, 0.7774095354294928, 0.7882493029739777, 0.7866193842212629, 0.7655332636326025]"
kalm-12b,C1a,html_css,nominal,none,0.8244422395740221,0.011236195621178837,0.8832298117944808,0.007166307743779102,0.11801854401589487,0.0071210999653459565,0.649037087625722,0.02251036401143084,6338,3840,4.0,0.9249276279065872,0.7239568512414569,0.9327034538929879,0.7034654060167486,0.9173830052922638,0.7467680608365018,0.004549304091908684,0.01845087848291991,"[0.8367625465993398, 0.8092101123564767, 0.8371353142998654, 0.8239392186760608, 0.815164005938368]"
kalm-12b,C1b,react,nominal,concat,0.8196769647567862,0.007599272265162278,0.8388606818702797,0.006779838313234396,0.16219403494182588,0.006889723685880553,0.6395537035303417,0.015158284338659641,6338,7680,7.3,0.8768116725312997,0.7625422569822726,0.8897320089891906,0.7423522343407927,0.8644008473795708,0.7843230403800474,0.005531681308133671,0.010358375562680208,"[0.8123122143536106, 0.8207576118023879, 0.8097477457849724, 0.82907049195832, 0.8264967598846399]"
kalm-12b,C1b,react,nominal,average,0.798715568093311,0.011734600476986731,0.8207441151093932,0.009741600237014883,0.17986450518998404,0.0091567858367165,0.5975540286310608,0.023511963857942773,6338,3840,4.1,0.8643210412957059,0.733110094890916,0.8713763484224115,0.7222192634166537,0.8575470091911098,0.744893111638955,0.006052046049910109,0.017771915722006044,"[0.781989226960476, 0.7956719482345227, 0.7939627667920792, 0.8171493910900431, 0.8048045073894337]"
kalm-12b,C1b,javascript,nominal,concat,0.755529527378917,0.008461344531451805,0.8755018852503833,0.005424857939595982,0.12638165118427244,0.006993903504954204,0.5113210272820454,0.01684250318947498,6338,7680,6.8,0.9254108047617192,0.585648249996115,0.9316410984070483,0.566757843006118,0.9193604538824701,0.6079351388649301,0.004570782502286507,0.013769075846434884,"[0.7496983536474973, 0.7571265311999054, 0.7686208155004811, 0.7436574257053056, 0.7585445108413962]"
kalm-12b,C1b,javascript,nominal,average,0.7309003015996364,0.00863334167438493,0.8628744775949337,0.004176089333589024,0.13931876635486098,0.004262899277590018,0.46197139029612944,0.017286505956654073,6338,3840,3.5,0.9177737600000541,0.5440268431992188,0.9242450132825197,0.5239256831581208,0.9114094740099962,0.5660399056983497,0.002575396774731311,0.015208853141876958,"[0.7327172117199708, 0.7189716312056738, 0.7422165427509293, 0.7232875012083594, 0.7373086211132485]"
kalm-12b,C1b,html_css,nominal,concat,0.8131534019015261,0.011903149963381472,0.8756475116183733,0.008394492477867882,0.1257501139082609,0.009079367248007944,0.6264812290907311,0.02377754307771452,6338,7680,8.0,0.9199741346516849,0.7063326691513673,0.9277865042859,0.6864483297187403,0.9124041148837486,0.7285171102661597,0.006119099216042374,0.018188159461186564,"[0.8144312969606111, 0.8016087764831483, 0.8339912386043932, 0.8143263284386999, 0.801409369020778]"
kalm-12b,C1b,html_css,nominal,average,0.8031948818705705,0.014678794696617812,0.8689752633293647,0.009605578804752369,0.13253605850029504,0.009729367514683207,0.6065844375172238,0.029434351598761798,6338,3840,3.4,0.9156336991318043,0.690756064609337,0.9239130458411958,0.669947688361405,0.9076250222988642,0.7140684410646388,0.0062754124102615255,0.023656803285155698,"[0.8122022925304303, 0.7967525097401544, 0.8254063557571709, 0.7995932662975935, 0.7820199850275038]"
kalm-12b,C2a,react,nominal,none,0.8397909749282366,0.009766191957871519,0.8572800178120703,0.008907346317762925,0.1432619840204761,0.009155816921592026,0.6796482564015839,0.019493404228237615,6338,3840,3.7,0.8918786347504357,0.7877033151060375,0.8989912960543911,0.7760122081013026,0.8849503601921397,0.7999999999999999,0.007299381805684662,0.012410753673256702,"[0.8297171274144959, 0.8376059822450215, 0.8443347749378286, 0.8563021286692286, 0.8309948613746082]"
