model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
openai-large,C1a,react,nominal,none,0.825932144079139,0.004514001932115567,0.8450640902765022,0.004097364961084284,0.15541120259735733,0.00421067478393981,0.6518993411629526,0.009021959884383457,6338,3072,5.0,0.8829140655755306,0.7689502225827471,0.8885255366078313,0.7595802452984487,0.8773928843561339,0.7786223277909738,0.0033475422233572197,0.005804740061738928,"[0.8179440857337215, 0.8303168177712354, 0.8254172229639519, 0.825743935983996, 0.8302386579427896]"
openai-large,C1a,javascript,nominal,none,0.7826122930745204,0.005853619361511115,0.8890041561416998,0.003068275543730836,0.11297060295439436,0.0037502020962798975,0.5654336005920502,0.011750932656032215,6338,3072,3.9,0.9332615704311154,0.6319630157179255,0.9406703966663329,0.6066738908265789,0.9260207824274437,0.6605715600023,0.0024335687401828136,0.010384390909719253,"[0.7878939947905466, 0.784821941054628, 0.7871560659681909, 0.7718262193832226, 0.7813632441760138]"
openai-large,C1a,html_css,nominal,none,0.8352450334577405,0.015190298247231709,0.8906606106436252,0.010330206039008067,0.1102898373912892,0.010665519690127691,0.6705596141839211,0.03034808290970626,6338,3072,3.8,0.9299672205686376,0.7405228463468437,0.9358919674576098,0.7239673389937525,0.9241467959009733,0.7581749049429658,0.006909439467357013,0.02356523235343346,"[0.8463628486245942, 0.8311122116668919, 0.8533283582089553, 0.836345808446747, 0.8090759403415146]"
openai-large,C1b,react,nominal,concat,0.8181593251750355,0.005054581654146354,0.8373948101336112,0.0049376551662905985,0.1637726913970008,0.005392132827393744,0.6365317685127307,0.010004821208908575,6338,6144,7.5,0.8754491075211247,0.7608695428289464,0.8893949297741843,0.7390792924311164,0.8620381767383701,0.7843230403800474,0.004869958556229892,0.005605933118115608,"[0.8197116188819378, 0.8131941059681066, 0.8120553359683794, 0.8199064336641047, 0.8259291313926492]"
openai-large,C1b,react,nominal,average,0.8050713489254919,0.006545710373381071,0.8263250087645295,0.006125925016753793,0.17434661474607796,0.006467418417830027,0.6102497807303029,0.013049884511241509,6338,3072,2.9,0.8683743460226371,0.7417683518283467,0.8756659970980822,0.7303918952729347,0.8613272822170307,0.7539192399049881,0.005546313966940303,0.008205778805961038,"[0.8126414862890725, 0.8094951923076923, 0.803803820547991, 0.7934543545534924, 0.8059618909292112]"
openai-large,C1b,javascript,nominal,concat,0.7662308157418566,0.010633421215627256,0.880942376724678,0.00489024839274734,0.12085903012406665,0.005352454538299093,0.5327421704323496,0.021474539048220255,6338,6144,5.5,0.9286630640694362,0.603798567414277,0.9352223556559244,0.5833889146809751,0.92232153086158,0.6283479960899315,0.0034006083558967707,0.019683833292582418,"[0.761576827072688, 0.7658248303245764, 0.7826504305852668, 0.7707832807479665, 0.7503187099787851]"
openai-large,C1b,javascript,nominal,average,0.7504447883648409,0.009999297984713414,0.8726554345484416,0.0037913009840446605,0.12953610082686193,0.0029675538362187756,0.5011239051050213,0.020153774559782598,6338,3072,2.5,0.9234942303416671,0.5773953463880147,0.9307505300825942,0.5542047526020539,0.9164046776706034,0.60365706399862,0.0016318566477706185,0.018946445128691505,"[0.7514810686540101, 0.73419180953807, 0.7624644418233539, 0.7585668829884769, 0.7455197388202939]"
openai-large,C1b,html_css,nominal,concat,0.8203358774201867,0.011047051433471407,0.8802207381508433,0.007934582802507556,0.12133395910257719,0.008594477997712902,0.6408284847612933,0.022032323370595068,6338,6144,5.9,0.9226969595980122,0.7179747952423611,0.9316191175336407,0.6944214593729965,0.9139933797149709,0.7437262357414449,0.005762432735392156,0.01646374875615986,"[0.8253983452474423, 0.8216967625058438, 0.8344929345667101, 0.8192789608618978, 0.8008123839190395]"
openai-large,C1b,html_css,nominal,average,0.804277368953645,0.005966986999473936,0.8696563998875458,0.004713084748340754,0.13190364979496513,0.005516410628887078,0.6087061850906582,0.011875137366883476,6338,3072,2.5,0.9160285028084733,0.6925262350988167,0.924228744021943,0.6713777109846465,0.9080216447642266,0.7155893536121672,0.003880436978538177,0.008246003916128706,"[0.8072983612560651, 0.798011535292502, 0.8133166919801406, 0.7974342293867289, 0.8053260268527882]"
openai-large,C2a,react,nominal,none,0.8389324061926308,0.005057817309061979,0.8565848908769178,0.004295825070943488,0.1438938947661955,0.004158527919479605,0.6779225910906513,0.010143101984347891,6338,3072,3.3,0.8915075162190254,0.7863572961662364,0.8979975391600098,0.7756471570207127,0.8851859294799332,0.7976247030878859,0.0029993241303596825,0.0074855127499790855,"[0.835042469989023, 0.8464023257691997, 0.8334481198524153, 0.8434261460172194, 0.8363429693352967]"
