model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
openai-small,C1a,react,nominal,none,0.8029891163979744,0.0015660644101189304,0.8242937242711854,0.0010492942544429228,0.17655406969940668,0.0010358855589577415,0.6061035672449071,0.0031984936033811195,6338,1536,2.9,0.8664427021514809,0.739535530644468,0.8756264676350144,0.7251089953836057,0.8575486838542931,0.7548693586698337,0.0014435264004406265,0.0037196669158423875,"[0.801805875375061, 0.8029322770534192, 0.8044791918451036, 0.8049387182225696, 0.8007895194937192]"
openai-small,C1a,javascript,nominal,none,0.7530074393981037,0.00774777172503657,0.8727243241924411,0.0040658825408362315,0.1306403262631368,0.004387898036584384,0.5064049582188763,0.015476956488843004,6338,1536,2.6,0.9225272306647797,0.5834876481314274,0.9335452008575439,0.5489152711465255,0.9117820666494534,0.6230119027082973,0.002680710171938396,0.013091600593811802,"[0.7514810686540101, 0.7576017723297481, 0.7448065900495464, 0.7456674473067916, 0.7654803186504218]"
openai-small,C1a,html_css,nominal,none,0.8134020078350661,0.01865593688823536,0.8754037518204478,0.012291417681540243,0.12638190016407772,0.012427849316784267,0.6270344103127119,0.03734766736542077,6338,1536,2.3,0.9193806449934229,0.7074233706767095,0.929676534059601,0.6811304102784634,0.9094146795900974,0.7368821292775666,0.007952615270608877,0.029722903787648376,"[0.8225727820038057, 0.7859168880284544, 0.8415975128093138, 0.8137943373440086, 0.8031285189897484]"
openai-small,C1b,react,nominal,concat,0.8076724135299646,0.011164263074706457,0.8285095300117377,0.009736093090485188,0.17229190890326884,0.009616058665721353,0.615441388259561,0.02236258257810037,6338,3072,2.7,0.869732314013165,0.7456125130467642,0.8786023985683707,0.731396502455043,0.8610953413661344,0.7605700712589073,0.0070239319829613405,0.015466547819563008,"[0.7858795617891285, 0.8133960499532376, 0.8092076204344133, 0.8129977832978735, 0.8168810521751698]"
openai-small,C1b,react,nominal,average,0.7707653534488049,0.013706149159145468,0.7958124916752212,0.012291279313093173,0.20494984301823277,0.012465795573133888,0.5416069447743925,0.027395892763831885,6338,1536,2.6,0.8453628008540095,0.6961679060436003,0.8519771396405122,0.6858914785122427,0.8388912613283985,0.7068883610451306,0.009623075046657307,0.017954356901822215,"[0.7537389340963963, 0.7717858408647882, 0.7567279101869443, 0.7857755660528991, 0.7857985160429964]"
openai-small,C1b,javascript,nominal,concat,0.7610224484915891,0.009132403089554639,0.8781521587744381,0.003669300377506112,0.12385687146915514,0.0033748590375718363,0.5222513320576653,0.018368054467608728,6338,3072,2.3,0.9268726500360224,0.595172246947156,0.9337962751691894,0.5724376521556259,0.9201011933565997,0.6207866137657408,0.002009128734886175,0.017119002913554626,"[0.7732896178923708, 0.7468493424172095, 0.7668024675569847, 0.7626018452989749, 0.7555689692924057]"
openai-small,C1b,javascript,nominal,average,0.7309218300300689,0.01047290229077597,0.859920726635956,0.007883454810278117,0.14500073449042547,0.010632882298549924,0.4628341325274203,0.020267915318735834,6338,1536,2.2,0.913583615913562,0.5482600441465761,0.928627806851552,0.508080257767862,0.8991987291838015,0.5982634696107182,0.0071613780405228485,0.015332353057112827,"[0.7271003062409485, 0.728339243498818, 0.7485677375537136, 0.7340349900550307, 0.7165668728018342]"
openai-small,C1b,html_css,nominal,concat,0.8050091117369813,0.010082010072620743,0.8694736780978571,0.007913850896562657,0.1326925423078934,0.009188104556391559,0.6103329883684744,0.019994168791005764,6338,3072,2.4,0.9151975960616013,0.6948206274123613,0.9267637009150086,0.6664478091664165,0.904041148837486,0.7269961977186312,0.006462863677001689,0.01396391090383657,"[0.8008530991772411, 0.7983227299016773, 0.8248983220778238, 0.7982776089159067, 0.8026937986122573]"
openai-small,C1b,html_css,nominal,average,0.7887237646334475,0.011256988167483833,0.8584427804382473,0.00829938716965702,0.14405087653340437,0.009154003531596825,0.5777459277412407,0.022350586599569174,6338,1536,2.0,0.9078925288569781,0.6695550004099167,0.9200562158593453,0.6396923620663248,0.8960791659233711,0.7026615969581749,0.006219321858013667,0.01631878031652416,"[0.7854431507958699, 0.7745472596403349, 0.7991021917084764, 0.7802402675653317, 0.8042859534572242]"
openai-small,C2a,react,nominal,none,0.803123705546561,0.008406661821498632,0.8240912794653015,0.006993287821079891,0.17702501500103326,0.006715344840013333,0.606492753915056,0.016952618674784717,6338,1536,3.2,0.8655697732844703,0.7406776378086519,0.8784378993237907,0.7211652792150729,0.8532942020369487,0.7619952494061757,0.004771740934581647,0.012947782178265373,"[0.7963627503101187, 0.7945270184076154, 0.798115913849414, 0.8141104248426894, 0.8125024203229678]"
openai-small,C2a,javascript,nominal,none,0.7566802215017475,0.010629860563156004,0.8754011060884481,0.0050384571823386595,0.12716867634866139,0.005174497799963721,0.5136242380879184,0.02128751402957121,6338,1536,2.8,0.9247834801491022,0.5885769628543928,0.9333491259276796,0.5609042317451057,0.9164063875955207,0.6197285952504169,0.003110848689211779,0.018711049642846898,"[0.7715404100176287, 0.7432012408455504, 0.7507342908022849, 0.7513242219548382, 0.7666009438884352]"
openai-small,C2a,html_css,nominal,none,0.8184383104527626,0.008825421739217881,0.8785584629936274,0.006200870270996561,0.12338480575840494,0.0066492889664957824,0.6371069486810039,0.017606934513151127,6338,1536,2.6,0.9212015602775863,0.715675060627939,0.9325182061273274,0.6862649570193492,0.9102114923391014,0.7482889733840304,0.004467940099010452,0.013526130603354733,"[0.8258518993501326, 0.8180356054965139, 0.8306230062538824, 0.8079419327539628, 0.8097391084093213]"
openai-small,C2b,react,nominal,concat,0.7968148382466296,0.018625935473650733,0.8187890806834544,0.01596871221477636,0.1820720846332154,0.015515294281106387,0.5937886955388402,0.03737697271358449,6338,3072,3.1,0.8622572166821817,0.7313724598110777,0.8720818686500225,0.7162069688875483,0.8528225052403002,0.7477434679334916,0.01086756157516519,0.02660087256771471,"[0.7655877113374341, 0.7868647046239419, 0.8034170586357721, 0.8171993514345388, 0.8110053652014614]"
openai-small,C2b,react,nominal,average,0.7792350048177814,0.010301368784181163,0.8029381127447118,0.008518848804864943,0.19816713516366688,0.00800305464645578,0.5586469495254796,0.020724750755285532,6338,1536,2.9,0.8498286465089675,0.7086413631265955,0.8606720117083801,0.6920566421664862,0.8393573759144358,0.7263657957244656,0.005147576074941927,0.015638657859763004,"[0.7681136267612295, 0.7780356827805223, 0.7702206907318814, 0.796852990216689, 0.7829520335985853]"
