model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,n_samples,feature_dim,elapsed_s,f1_fail_mean,f1_pass_mean,prec_fail_mean,prec_pass_mean,rec_fail_mean,rec_pass_mean,f1_fail_std,f1_pass_std,_macro_f1_folds
qwen3-0.6b,C1a,react,nominal,none,0.786837032014531,0.015195923679884876,0.8081550155118119,0.013540130661176554,0.19422640729610424,0.01362388637811671,0.5743935889358938,0.0304284220997427,6338,1024,2.5,0.8503320503706545,0.7233420136584077,0.8761242854977634,0.6863759460843772,0.8261294905395486,0.7648456057007126,0.010420429383786461,0.02031697241601025,"[0.7864796077921954, 0.7830856226372483, 0.8006029845566545, 0.8032716829724085, 0.7607452621141487]"
qwen3-0.6b,C1a,javascript,nominal,none,0.7221000261476876,0.008356064905659153,0.8517008222461249,0.006377078279162233,0.1566752730686014,0.008352718037177055,0.44636294940841453,0.01589479803388517,6338,1024,2.5,0.9056156744010158,0.5385843778943593,0.9312405814155043,0.47562847366542815,0.8814476566333973,0.621913633488586,0.005663791994632666,0.0117150447180033,"[0.7166134467431914, 0.7263289055025255, 0.7347099291898962, 0.710191460521857, 0.722656388780968]"
qwen3-0.6b,C1a,html_css,nominal,none,0.7849730212045073,0.02108240278781726,0.8531523028474972,0.014684975975595739,0.1517861811228491,0.015669020429232215,0.5712647829514204,0.04199543684376492,6338,1024,2.2,0.9015119169710862,0.6684341254379285,0.9275621624714372,0.6126604359648773,0.8771618005589582,0.7376425855513309,0.010638175348453528,0.03265606974536013,"[0.7812905844155844, 0.7762492742757614, 0.8253106034581472, 0.7634088885058462, 0.7786057553671971]"
qwen3-0.6b,C1b,react,nominal,concat,0.7575110425415318,0.014064748781225716,0.7838131188971758,0.011801504001411176,0.21710429017102423,0.011270409788191623,0.5152775962830909,0.02820139859319392,6338,2048,3.8,0.8358485820519646,0.679173503031099,0.8446320141427455,0.6666344612592099,0.8275429062663106,0.6931116389548693,0.008007804891072043,0.02132139199516208,"[0.7368017994084621, 0.772473809353242, 0.7692029276082946, 0.764076538486484, 0.7450001378511759]"
qwen3-0.6b,C1b,react,nominal,average,0.7659230299909473,0.01020864969396055,0.7892149087192687,0.00938727967486125,0.21347192379226124,0.00974834619461351,0.5327368625427816,0.020309977734060777,6338,1024,1.9,0.8352946064328901,0.6965514535490045,0.8615656464376252,0.6601408414782963,0.81077729491656,0.7377672209026128,0.008272796422552374,0.013219799267731343,"[0.7528280430004429, 0.7662685529624543, 0.7638614643525848, 0.7841809920051198, 0.7624760976341345]"
qwen3-0.6b,C1b,javascript,nominal,concat,0.7002316957160275,0.014437203634225293,0.8455229900211562,0.006968010847466815,0.1585677685682914,0.006832928953869751,0.4009348415567683,0.028969747083286375,6338,2048,3.3,0.9059630294815214,0.4945003619505335,0.9168764243694364,0.46482250906357797,0.8953207904640907,0.52845724800184,0.003980742889411232,0.025114130685752783,"[0.7023039590718754, 0.6848710779745262, 0.7204995251026252, 0.6831998027856526, 0.7102841136454582]"
qwen3-0.6b,C1b,javascript,nominal,average,0.6812550071219708,0.014024140821559632,0.8268918253803668,0.009460932938157274,0.18523350571035183,0.012310769654705546,0.36657866396841643,0.027256419990880205,6338,1024,2.1,0.8874709483115423,0.4750390659323996,0.9205966569033027,0.4081770376141322,0.8568524386094207,0.5703352308665401,0.00849296514420793,0.022123063086566617,"[0.7042494014927475, 0.6613185095223507, 0.6820064392682242, 0.6743826280868596, 0.6843180572396724]"
qwen3-0.6b,C1b,html_css,nominal,concat,0.7684640681705617,0.02111348882005531,0.8451169209901008,0.015327506482468523,0.15730992259217855,0.01691111870301066,0.5373987150900452,0.04204440155457517,6338,2048,2.9,0.8994876793722414,0.6374404569688822,0.9103910764932508,0.6137570668380218,0.8891058650968267,0.6653992395437263,0.011590214516257802,0.03158127842918539,"[0.7783837856874984, 0.7696613669963474, 0.8003505683456513, 0.7566489662185063, 0.7372756536048051]"
qwen3-0.6b,C1b,html_css,nominal,average,0.7536388417004847,0.017213439424317394,0.8305893302479023,0.01136010043333164,0.17608449378670896,0.011644253360151034,0.5091926214376358,0.034631408001597745,6338,1024,2.0,0.8851715123545117,0.6221061710464577,0.9160579421528358,0.5608174189854924,0.8564597332064776,0.6996197718631179,0.007659642661777709,0.027750492188461495,"[0.7606139961520357, 0.7639439083206698, 0.7764614625202736, 0.7345023856260656, 0.7326724558833787]"
qwen3-0.6b,C2a,react,nominal,none,0.7917514987453116,0.014954677761308132,0.8124634351321296,0.013860872746210253,0.18996325058074537,0.014355772503512772,0.584241541483402,0.02965696401359607,6338,1024,3.2,0.8534389056415037,0.7300640918491194,0.8800017693658686,0.691855858199783,0.8284941149544631,0.7729216152019002,0.011750303176134928,0.01823822634732367,"[0.8124527516352043, 0.7709263787014398, 0.7787874159530526, 0.7972301617623123, 0.7993607856745488]"
