model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
cohere,C1a,react,nominal,none,0.5710780218810515,0.012262724592887263,0.6751569477276463,0.0025650249544765893,0.34143260490141647,0.0031267335485814433,0.4638603986445721,0.002903225169611893,0.7032835876050652,0.7466164227498627,0.590886203039882,0.2435258741293961,0.02347425043179381,0.0035563613264782985,0.014712873695093054,0.043983751314813246,6338,1536,22.3,"[0.560436852517315, 0.557320492734337, 0.5727107760946714, 0.5921449493776005, 0.5727770386813337]"
cohere,C1a,react,ordinal,none,0.5877566182789564,0.01430214593537079,0.685419460669879,0.00753135019037761,0.3202892398397566,0.007779992501406126,0.4783707377221321,0.011088066288564824,0.7248414864645788,0.758754040593265,0.5894041877550127,0.27802675830296913,0.027602512954983973,0.006938801733965238,0.01641790888084763,0.05280010979828345,6338,1536,111.3,"[0.5963845212476743, 0.575403467227155, 0.594712953351545, 0.6054038015126293, 0.5668783480557786]"
cohere,C1a,javascript,nominal,none,0.5177098703869246,0.025032143260750195,0.7372819369743728,0.00717778858647796,0.2800557216804145,0.009248376955369286,0.44488923532571834,0.015759934844461174,0.6492338081019571,0.813367157684079,0.4847209565689088,0.12351755919275384,0.014633646869782798,0.007264396431322691,0.009413861642746761,0.08105495696238861,6338,1536,14.0,"[0.492067161465847, 0.48319838056680164, 0.5442511284236299, 0.5317689546045801, 0.5372637268737648]"
cohere,C1a,javascript,ordinal,none,0.5260019346117527,0.02208615491176137,0.7450297342555123,0.006470916630454448,0.2619113183729668,0.006211729923546925,0.44324847399810574,0.014129643010974528,0.6587821392699441,0.8313845401479778,0.4335915766403876,0.1802494823887014,0.012281340667883698,0.0028766931676531705,0.03533505739014201,0.06012005541874189,6338,1536,103.2,"[0.4980361833168402, 0.5129923160410965, 0.547156295570639, 0.5153732741785839, 0.556451603951604]"
cohere,C1a,html_css,nominal,none,0.5849879566723268,0.033500066058941944,0.7822272670708669,0.007375298358977593,0.22262454592308017,0.008722759269923315,0.5411252850379047,0.015412018541722748,0.6682466897712181,0.8433421013357574,0.6427220099413063,0.18564102564102564,0.018514651017106275,0.006635321185537866,0.013905219098129072,0.1224084410078826,6338,1536,16.5,"[0.6226031410198499, 0.5395427220778878, 0.5595291833765801, 0.6231832230064607, 0.5800815138808559]"
cohere,C1a,html_css,ordinal,none,0.5617529641274892,0.01970099441915829,0.7738251588956169,0.012325776583087832,0.22830539364952104,0.011384477210563076,0.5132033568765881,0.028798784818543005,0.6512727262998939,0.8450021890608174,0.6046164362671308,0.1461205048821148,0.03862860280771642,0.008626109892985814,0.02577525625928516,0.10280049546358849,6338,1536,175.2,"[0.5685652040776742, 0.5811832432129529, 0.5237518779305139, 0.5689530512603446, 0.5663114441559605]"
cohere,C1b,react,nominal,concat,0.5383421288693343,0.0038698233964271425,0.6636036525003595,0.004453608179948576,0.357051855024039,0.003932132010440109,0.4433119529646092,0.0075008000867655905,0.6808372038246415,0.7424436438411826,0.5821929177278908,0.14789475008362235,0.00800948086965929,0.005752844851595345,0.009884222785657513,0.024073650399449243,6338,3072,32.4,"[0.5374091913414031, 0.5402574285337086, 0.5385443863319936, 0.5436488168865233, 0.5318508212530431]"
cohere,C1b,react,ordinal,concat,0.5549798835808428,0.019095101704418645,0.650624849856518,0.011459796659268398,0.3673057148334699,0.011356178068570406,0.42329140941571125,0.0185324885505077,0.6950591723785096,0.7316181570245368,0.5362214166222048,0.2570207882981198,0.027511160248817817,0.012651686547180503,0.006360368340662443,0.06011224188732097,6338,3072,257.5,"[0.5367581870428555, 0.5514544533651576, 0.5612488310589978, 0.5884052433181692, 0.5370327031190336]"
cohere,C1b,react,nominal,average,0.5229314366428973,0.01886191300103855,0.6408513521252664,0.009144661483255061,0.38702777867687155,0.011990664304803238,0.4082975023894385,0.014926887649549825,0.6652465669907114,0.7186857356501927,0.554186978825664,0.1536064651050209,0.02695014217533626,0.006932943723758212,0.013562050622346592,0.05383735358539082,6338,1536,12.9,"[0.5172593563956487, 0.5293827907149188, 0.4898405647505851, 0.5457220250164802, 0.5324524463368536]"
cohere,C1b,react,ordinal,average,0.5729596362536019,0.023016787108863283,0.6735770383520615,0.008393943303098391,0.3349609973135079,0.009482605068380704,0.45814653588800125,0.01376099735783827,0.6970996920778981,0.7491500579418998,0.5803876759024084,0.2652011190922014,0.02091378437630118,0.01399165525837643,0.010503477583352072,0.08281790336324064,6338,1536,92.1,"[0.5419828328766508, 0.5627777922330547, 0.60021443779965, 0.5992266760171269, 0.560596442341527]"
