model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
gemini,C1a,react,nominal,none,0.6051969343275936,0.014034151189979988,0.7101798914222825,0.00694570804119701,0.3030890924437119,0.009843310881896248,0.5217686915738948,0.013253616971896526,0.7316015696841086,0.7799918015752159,0.6320986008415835,0.2770957652094664,0.021039957939050558,0.006012345040953616,0.010745142355693916,0.04426856802199937,6338,3072,33.1,"[0.6005109334424643, 0.599275558329769, 0.5889647579152034, 0.6309475937190775, 0.6062858282314537]"
gemini,C1a,react,ordinal,none,0.6128228197601978,0.01928602442665172,0.7108835446664961,0.007732535504499647,0.29283585508379417,0.008246851159816698,0.5213816592423446,0.011647330455935129,0.7360093269191117,0.7831123016213807,0.622176194438018,0.3099934560622808,0.017920885754979157,0.0069209643352981165,0.005429242350103659,0.06186078249639494,6338,3072,99.6,"[0.6062918580292289, 0.6036681185310797, 0.6302266030763709, 0.6386931818795588, 0.5852343372847505]"
gemini,C1a,javascript,nominal,none,0.5437597442977846,0.018676268287469985,0.7710124658438777,0.006075075924283042,0.2398236973999039,0.007900630199005058,0.5108327535787363,0.012487340447772175,0.6812962863853167,0.8431509428096591,0.5446172627113327,0.10597448528483011,0.018426614062004555,0.005192782979744726,0.01998883209465673,0.062322500373331174,6338,3072,16.5,"[0.5352765010080041, 0.5110483889803688, 0.5600095130728323, 0.5598954602792916, 0.5525688581484266]"
gemini,C1a,javascript,ordinal,none,0.565085089270406,0.01392422227630741,0.7667842143620461,0.010886430561409071,0.239191288694574,0.010532370492987544,0.49488925578320286,0.022082856029996677,0.688720016209696,0.8440094889988025,0.4913679676226515,0.23624288425047438,0.017206312242687125,0.007885990276665266,0.03287079093035909,0.04455258740004279,6338,3072,99.6,"[0.5667241168985525, 0.5847258687258687, 0.5442490082056848, 0.5562978167468008, 0.5734286357751234]"
gemini,C1a,html_css,nominal,none,0.5978817175987816,0.028906029709535017,0.8160982007993235,0.006385272143301946,0.19122831697121048,0.005083921594193615,0.6089837563208003,0.012867308519520615,0.7173043276464173,0.8709350711455162,0.6939541382698596,0.10933333333333332,0.01207428368431346,0.004974337513980127,0.02125281350002543,0.11349791970682888,6338,3072,15.7,"[0.6503816903755893, 0.5891404227103452, 0.5747692937926747, 0.5702696149959997, 0.604847566119299]"
gemini,C1a,html_css,ordinal,none,0.603782195712433,0.038101176438338,0.8083568312057261,0.011417820034958663,0.1937527232166199,0.011352165685783474,0.5900175368798158,0.02475946019324121,0.7057063678675377,0.8679181955228626,0.6698531822328461,0.17165103722648478,0.016807416627870147,0.008306097188639963,0.02022098339839902,0.12281976061744852,6338,3072,100.8,"[0.6487091363131874, 0.5473583909840496, 0.6424073434081486, 0.6001313928957914, 0.5803047149609871]"
gemini,C1b,react,nominal,concat,0.5689232616435883,0.010807331157244266,0.6931789109099172,0.0060107054554134134,0.3251797011744378,0.010983572516264476,0.4928917320884823,0.010040482206702818,0.7238987154806196,0.7684786151820604,0.6136543526070464,0.16966136330462706,0.022415825346195583,0.007836947845153626,0.015275024886731636,0.0472388358879745,6338,6144,29.6,"[0.5702916802265248, 0.5625728548063689, 0.5570137705402997, 0.5887112846355443, 0.566026718009204]"
gemini,C1b,react,ordinal,concat,0.5938427920982507,0.013092783835792586,0.6856178539500435,0.008193755896340249,0.3262851715097388,0.008163326361510438,0.48038580634058087,0.013651034972387342,0.7247222073155903,0.7592061664441623,0.5853068643384765,0.30613593029477376,0.022234688482197514,0.008440129375657862,0.013974998934220946,0.04744056168044741,6338,6144,200.0,"[0.5972933847641374, 0.5844248629786702, 0.6051522399592786, 0.6086978351638641, 0.5736456376253031]"
gemini,C1b,react,nominal,average,0.5466825319321038,0.011899188790416787,0.6680593556650956,0.00885563679941483,0.3505818658048646,0.010432018863296299,0.4523528783413985,0.014015167142923972,0.6948968757837675,0.7445440253992672,0.5855421538599941,0.1617470726853863,0.016302353274595602,0.012182359230800088,0.013778785727063803,0.045670924598105095,6338,3072,21.3,"[0.5381900380133023, 0.53528194097327, 0.5375259360239665, 0.5613975257838218, 0.5610172188661586]"
gemini,C1b,react,ordinal,average,0.5925745119196151,0.008715644038185208,0.684609532522918,0.008229226909983107,0.32754637871322256,0.0074628283985075225,0.47840456422342187,0.011335896357892214,0.723750424434392,0.7566817258888131,0.5875075374758931,0.30235835987936166,0.01986343464442031,0.011017717413330413,0.014120681996298018,0.04062471741174587,6338,3072,102.0,"[0.5894134442986823, 0.5913804503613558, 0.594501747479504, 0.6072371120610339, 0.5803398053974991]"
gemini,C1b,javascript,nominal,concat,0.5114436746451518,0.022996788560714635,0.7534557318404893,0.015976543648883165,0.2551241288819064,0.01685107747594607,0.4732575712841749,0.029712361907084102,0.6608506253886486,0.8300120017746154,0.510659197854125,0.04425287356321839,0.024199091164383964,0.014232547133779017,0.019446487820059824,0.05688203692716608,6338,6144,25.9,"[0.4742788617885809, 0.5140397389023946, 0.5214381176045294, 0.5030612675118009, 0.5444003874184534]"
gemini,C1b,javascript,ordinal,concat,0.5384463551463419,0.023100983058651013,0.7537713607065647,0.008692707978808983,0.2541787525613798,0.00931615254004819,0.4676975108588087,0.018283271426596248,0.6815920242061837,0.8354605866738559,0.45195881202810434,0.1847739976772235,0.027599414990346398,0.006374891432256975,0.024266249381815132,0.07058071743404097,6338,6144,198.7,"[0.5394133666410462, 0.5362951792074118, 0.5013652826215395, 0.574246221491431, 0.5409117257702808]"
gemini,C1b,javascript,nominal,average,0.5037989701764094,0.02472956540626218,0.7366700362308416,0.014411879247061233,0.27326927912876986,0.013643135843970457,0.4389828188157159,0.03172225748272836,0.6416951356872221,0.8168538445891664,0.47338571716806577,0.08326118326118326,0.023867848037750012,0.010221385661100053,0.03042274592707888,0.07983280776590547,6338,3072,13.4,"[0.47841957216957215, 0.4772326718164257, 0.5198550391326984, 0.5016683642595435, 0.5418192035038073]"
gemini,C1b,javascript,ordinal,average,0.5319071611123497,0.013944069462093226,0.7374308717450005,0.008020422866485225,0.27200807192528614,0.01195101032761318,0.43689277554561495,0.014324882910726722,0.6480963772068515,0.821379648515558,0.4383560685279623,0.21979655019902697,0.012992518440369945,0.008153778397301444,0.005115188939828803,0.053034554219382773,6338,3072,101.0,"[0.5114089946967183, 0.5337349075488634, 0.5253562992561012, 0.5542054117096741, 0.5348301923503914]"
gemini,C1b,html_css,nominal,concat,0.5705060552140804,0.02470108323212377,0.8024554860506135,0.007328995305935213,0.20400807690488226,0.008129006121577503,0.5796216222720851,0.014545199590015094,0.7097283845898226,0.8606572914629822,0.6671941003590722,0.04444444444444444,0.01726760341264458,0.005648230711703582,0.01671093892421095,0.08888888888888888,6338,6144,23.5,"[0.6182972724943647, 0.5545473280533342, 0.5588561661965917, 0.5697058131263582, 0.551123696199753]"
gemini,C1b,html_css,ordinal,concat,0.5895520211844598,0.0136500203150677,0.8060683381258963,0.00533868244922826,0.1950143038898115,0.006019663866953531,0.5844341729554048,0.010831849102800264,0.7135148120768005,0.8672025919532516,0.6586911469082535,0.11879953379953381,0.013228251612425777,0.005362225612830654,0.010598805490407717,0.06255017492504521,6338,6144,189.7,"[0.5870527829184861, 0.56448581245809, 0.6041423318661812, 0.5960369195085895, 0.5960422591709522]"
gemini,C1b,html_css,nominal,average,0.5477649636698411,0.012955247556158763,0.7804795320355093,0.004077998849443293,0.22294087476564775,0.004213717371799104,0.5353800713685855,0.008019288985250568,0.6818279589896801,0.8441968679464104,0.6286713913796377,0.03636363636363636,0.028158042628589192,0.004502660990093117,0.009894764414233564,0.07272727272727272,6338,3072,12.4,"[0.5375011815510856, 0.5730002136219241, 0.5459474759086262, 0.5430869569210288, 0.5392889903465408]"
gemini,C1b,html_css,ordinal,average,0.570228809583827,0.03306056180569692,0.7772832861923291,0.00800424424809319,0.22609594685775036,0.008459548525274231,0.5257676749249015,0.017997341420431537,0.6841310901802923,0.8450898424143076,0.6056792681467227,0.14601503759398496,0.012369718297983683,0.00552614100363591,0.02358383180039158,0.12572939435058555,6338,3072,102.2,"[0.5803482383624847, 0.539766430931657, 0.5801405770634946, 0.6217153228860477, 0.5291734786754507]"
gemini,C2a,react,nominal,none,0.6027070431410589,0.012883131937956024,0.7270712780737971,0.007810626546391903,0.2906259103324129,0.007396454324136649,0.5463774461966107,0.013265611971451327,0.7519449251943129,0.8051725417028479,0.6439509841767947,0.20975972149028022,0.008190456547571981,0.005583003595499826,0.012846683622753863,0.035838667017659045,6338,3072,27.3,"[0.6026043205425001, 0.5823853192176272, 0.6004525307502572, 0.6228397589953105, 0.6052532861995996]"
gemini,C2a,react,ordinal,none,0.6168088148122175,0.01909151142885919,0.7177034789078661,0.01346711562748824,0.2877896568809304,0.014228935181540133,0.5331623689034741,0.02236318798407307,0.7312461733758737,0.7897506567715438,0.6351218341627497,0.3111165949387026,0.010848817794872106,0.010037369688025077,0.025713971972263553,0.05124255285030844,6338,3072,100.3,"[0.6288660659725532, 0.6119777412880861, 0.6280166300582798, 0.6336512820730748, 0.5815323546690936]"
