model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
jina-v5-small,C1a,react,nominal,none,0.5550177965309642,0.012512856442611096,0.6617309384242098,0.011139106777772943,0.3635215952634082,0.013671190409745577,0.4443767240716737,0.018754153092156868,0.7170932791133161,0.7306674484849354,0.575118955622475,0.1971915029031301,0.015168801575116797,0.015142465018113284,0.025150268876930296,0.045431518621569376,6338,1024,9.2,"[0.570770680119983, 0.5508180736464627, 0.5397849372987876, 0.5686529155474669, 0.5450623760421206]"
jina-v5-small,C1a,react,ordinal,none,0.5828691888580787,0.014126309879293687,0.6936554134048759,0.002689284863389096,0.3070365427660163,0.001609811350251373,0.4907756215670266,0.00569721812574786,0.7360356247301436,0.7685582443348269,0.602117305193195,0.2247655811741492,0.02799833937489008,0.0041416991349648,0.014759261213172895,0.06306380335526997,6338,1024,26.8,"[0.601191833365357, 0.5931790544386736, 0.5792200408340458, 0.5596455449886495, 0.5811094706636675]"
jina-v5-small,C1a,javascript,nominal,none,0.4960861362299087,0.018833565946196045,0.7233395302057953,0.010194101724406683,0.29599092717589676,0.012823068282398993,0.42669877658866184,0.013471571712112034,0.6158973653356228,0.8004073598238305,0.48893929065965275,0.07910052910052909,0.006130902922486283,0.01190910656836747,0.014457294972754275,0.0606086474792825,6338,1024,8.5,"[0.49822833154913504, 0.466269515287878, 0.4900300383996036, 0.5012393161833222, 0.5246634797296049]"
jina-v5-small,C1a,javascript,ordinal,none,0.5245137059223913,0.02700398685277953,0.7613983035891388,0.012621529362588754,0.23745440557316394,0.012435384586275992,0.4725327786031805,0.025702767938546808,0.6639011918066106,0.8467204732383591,0.47360460733320686,0.11382855131138885,0.016659738534255855,0.0094566741553502,0.03150372870896028,0.09977397794816678,6338,1024,25.7,"[0.4932935823057093, 0.5102755518001186, 0.5674916052786735, 0.5081686824801595, 0.543339107747296]"
jina-v5-small,C1a,html_css,nominal,none,0.5340423093308655,0.010908317461978822,0.7701599349765111,0.007617910283148536,0.24045224691825245,0.007006888164168272,0.5170283344764147,0.018898398374662836,0.657794834856339,0.8345547795442398,0.6227669913439355,0.021052631578947368,0.044306483571559356,0.005021797978528919,0.014455865367499102,0.04210526315789473,6338,1024,6.8,"[0.5419480892871218, 0.5158974105978448, 0.5268774569525168, 0.5422784478730626, 0.5432101419437815]"
jina-v5-small,C1a,html_css,ordinal,none,0.5547202852018686,0.02589318713049361,0.7861356412985901,0.01318009076150963,0.2128411334556654,0.012402404234211344,0.5363573745935161,0.030786510498176885,0.6691443496421852,0.8552735569433286,0.62369400345273,0.07076923076923078,0.030092696032216835,0.007676884016782238,0.034736139348518456,0.087894503735912,6338,1024,23.6,"[0.514597084800628, 0.5904487399145215, 0.5709967371608312, 0.556853515666739, 0.5407053484666232]"
jina-v5-small,C1b,react,nominal,concat,0.5280179919929581,0.014197618642179844,0.6515731577688928,0.011135885659556153,0.375036911256128,0.015765403226482778,0.4236493176110948,0.01894272171286319,0.6832432862997573,0.7285087952517857,0.5679587370872079,0.13236114933308124,0.0241369293644515,0.010836090801531445,0.01580363765850653,0.037779198160671906,6338,2048,11.2,"[0.5339343289668522, 0.505063457545817, 0.5185975195778332, 0.5393536170840815, 0.5431410367902063]"
jina-v5-small,C1b,react,ordinal,concat,0.5509964356223941,0.017506547547141278,0.6458534416710662,0.016083283388202682,0.37156663073058144,0.01570497828297215,0.41502012263461613,0.02607486357479182,0.6897440483442931,0.7251260691817224,0.5345002403481759,0.2546153846153846,0.018884056518793043,0.01789320092140052,0.01645495192605518,0.03966212680574041,6338,2048,68.5,"[0.5636717177094767, 0.5487904008366102, 0.5427501932669314, 0.5244252072951119, 0.5753446590038401]"
jina-v5-small,C1b,react,nominal,average,0.5312518989287609,0.014609701849776996,0.6437952856158489,0.011361882044117417,0.39065566341914004,0.015068593129354735,0.41769048349770277,0.01970178511135972,0.679367300836395,0.7103328859337895,0.5724568637100697,0.16285054523478928,0.02720939727146547,0.008189577405593444,0.022523491106321226,0.04301712021594938,6338,1024,6.4,"[0.531112401881408, 0.5118464526153793, 0.5203791906180442, 0.5390514878929749, 0.5538699616359981]"
jina-v5-small,C1b,react,ordinal,average,0.566645495745969,0.011707902058540443,0.6780491907132726,0.009844967948108407,0.32723117027977866,0.00932812170328921,0.46343814494152935,0.019091882999755675,0.7067267457773383,0.7534198956670711,0.5905881275197875,0.21584721401967913,0.02848317319536516,0.005160967149554346,0.030915633798999247,0.027980567557244596,6338,1024,17.8,"[0.5673500539633263, 0.5768525853373935, 0.5542497790228752, 0.5527940599252498, 0.5819810004810005]"
