model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s
kalm-12b,C1a,react,nominal,none,0.5980350792456175,0.018789453672167767,0.7145720056006297,0.012851201050444079,0.29945884239329346,0.014795608741594817,0.528710404770861,0.02313504555939308,0.7279927290547236,0.7853656645415892,0.6448195269215745,0.2339623964645831,0.026311727513689757,0.009006919075892968,0.016344582384320128,0.031629617857834344,6338,3840,22.9
kalm-12b,C1a,react,ordinal,none,0.612381393040718,0.014788292730183785,0.7086507024108262,0.00913385657487626,0.29756883669165596,0.009826369725261696,0.5163976726300721,0.01602340997894243,0.7260571390940422,0.7814560786577218,0.6201788865606909,0.321833467850417,0.03052757360343604,0.006438540814470548,0.017949942300454,0.04607507543975533,6338,3840,131.0
kalm-12b,C1a,javascript,nominal,none,0.5415734678193151,0.01261877923932668,0.7755662668478607,0.010913311031210236,0.23350932055900944,0.011089299708786129,0.5223092212160471,0.023778014247298588,0.694410726921344,0.8455247503788174,0.5542662280784814,0.07209216589861751,0.030973376127327618,0.008364349901149381,0.01465743328616896,0.04138831361093484,6338,3840,17.5
kalm-12b,C1a,javascript,ordinal,none,0.5669612503873896,0.03139463715236619,0.7708288677343572,0.010761741724384542,0.23256494015770382,0.009856266268059181,0.5017956824401939,0.02436495348106471,0.6972004911393727,0.8482645130149258,0.49011751477983656,0.23226248261542376,0.016288248997366615,0.006670268533988018,0.029496163935795353,0.10307685105268584,6338,3840,130.3
kalm-12b,C1a,html_css,nominal,none,0.5902252498847022,0.017888226885710713,0.8260454719951029,0.007115522467015294,0.1782904548612062,0.007437889936983993,0.631073740666635,0.015257350680789468,0.7342321482449835,0.8781680066345103,0.7121372082956783,0.03636363636363636,0.0192028981170252,0.005335803714649813,0.01214983392717616,0.07272727272727272,6338,3840,16.3
kalm-12b,C1a,html_css,ordinal,none,0.5744451358713641,0.02447708691689189,0.810303424277703,0.011188775884618737,0.19012471398444872,0.01145999055590982,0.5920690985147077,0.0252553138854714,0.6954463662843267,0.8715704995338319,0.6749944468980675,0.05576923076923077,0.030113952808292738,0.007628956881443603,0.022510214079499713,0.06890951102757276,6338,3840,127.8
kalm-12b,C1b,react,nominal,concat,0.5645318871989173,0.021463327391490906,0.6983418218064876,0.010288086112203462,0.31965683113442667,0.01272213548927305,0.5009248009428434,0.018085479083554623,0.7023600162282705,0.7768518238433059,0.6276392216966441,0.1512764870274498,0.034599023279693844,0.01009083156268138,0.015586736667829226,0.053937118791341776,6338,7680,34.5
kalm-12b,C1b,react,ordinal,concat,0.589421703234726,0.014450026869575128,0.6984424585711657,0.009246771428188558,0.3048294612823954,0.010113401904193358,0.5012638966964906,0.015280424271978702,0.7167784099435865,0.7754081859735231,0.6097800218781269,0.25572019514366806,0.013132608353053007,0.008682766939094966,0.018900579287422482,0.06500015841415772,6338,7680,249.2
kalm-12b,C1b,react,nominal,average,0.5578353762063296,0.015322791840034506,0.6814341757028728,0.00896578804010332,0.3340138781343445,0.008729728790098605,0.4748975649508539,0.017358191486495204,0.7029426750090269,0.7579874079260295,0.6020444534383934,0.1683669684518684,0.02853837004072812,0.010623129808399696,0.013170062125396563,0.03250320627545873,6338,3840,13.5
kalm-12b,C1b,react,ordinal,average,0.5641191725878173,0.0062622293493856986,0.6636925828533691,0.003340918252745071,0.3464806704528196,0.004374828926190725,0.4452836052578932,0.006049165237246622,0.684176444922026,0.7425655596538144,0.5641606474041767,0.26557403837125215,0.012929303800683311,0.005575126161458064,0.005734308287713735,0.015671489892416735,6338,3840,124.7
kalm-12b,C1b,javascript,nominal,concat,0.5245232531707195,0.029793102541838184,0.7656540451843992,0.010786471931343293,0.2410840331740693,0.011288126310355345,0.49327425326537727,0.02280446404290987,0.6839774987354621,0.8421766127632384,0.5109702402155162,0.06096866096866097,0.01624714495492881,0.007830656402706117,0.03431516404471351,0.08961642507732194,6338,7680,31.9
kalm-12b,C1b,javascript,ordinal,concat,0.5470806302225768,0.01757008024248485,0.7705486277268638,0.011337449764789075,0.23145897186279224,0.011669398222730932,0.49887918537351367,0.029370819452119785,0.6993981777242658,0.8503053921113943,0.4807951962653746,0.15782375478927202,0.03364924960631939,0.007550724621035305,0.018722242428063935,0.0475380636670755,6338,7680,247.2
