model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
openai-large,C1a,react,nominal,none,0.6103875647213896,0.020455281257878564,0.7236057305684032,0.006797580036052601,0.2892061029929862,0.00811103476520342,0.5426295904005392,0.012746616680386583,0.7549130207577575,0.7943567379290627,0.645722565518334,0.2465579346804041,0.01747383964307338,0.007591919421434337,0.005768230401002321,0.0761121534598753,6338,3072,19.2,"[0.6148552486463218, 0.6087408680039623, 0.5729822626255477, 0.6336891648990111, 0.6216702794321047]"
openai-large,C1a,react,ordinal,none,0.6059221382531285,0.018377092724674877,0.7035627957020639,0.012231626337747634,0.30324632319072603,0.012788729243381635,0.5095846796639508,0.020380451352856415,0.7490318108976448,0.7777027945502019,0.6037898693801914,0.2931640781844755,0.028470970419720423,0.010172317904392866,0.019663216808501412,0.03904867576467355,6338,3072,98.5,"[0.5968521829908011, 0.5879808046989312, 0.5886137858702413, 0.6292519560024925, 0.6269119617031761]"
openai-large,C1a,javascript,nominal,none,0.5453683936126372,0.021767142107071022,0.7821535767040577,0.01653336251819763,0.22719681106665437,0.01770488081518567,0.5316507309335131,0.03566007473268162,0.7039349835649502,0.8543427162562864,0.5463672434903365,0.07682863113897596,0.027178648589384864,0.012139226519589999,0.03399279166466171,0.062974845436542,6338,3072,12.9,"[0.5263853011672055, 0.5313289583510172, 0.526795044264065, 0.5629340096948554, 0.579398654586043]"
openai-large,C1a,javascript,ordinal,none,0.5536634930244301,0.0238521959506252,0.7628243129543002,0.012436983381456546,0.24250309357408018,0.01219852268288244,0.48496488986537284,0.02538165188768534,0.6638247181497083,0.8424712905577391,0.49891932786932325,0.2094386355209492,0.020575340489581234,0.01013766893660064,0.022613067740612853,0.08433394648401786,6338,3072,99.1,"[0.5417900622296887, 0.5286113677941262, 0.5988502300133696, 0.5497380436842179, 0.5493277614007476]"
openai-large,C1a,html_css,nominal,none,0.5815168500049814,0.009874157225113802,0.8211838588624925,0.010858189058459238,0.18254850749055745,0.011366877210686608,0.6195840380245772,0.02293493263056088,0.722171475882302,0.8754849313161763,0.703410992821447,0.025,0.028200850769013935,0.008922877878305155,0.019141179676532866,0.05000000000000001,6338,3072,13.8,"[0.5916353552253155, 0.5724529899739143, 0.5806995059722077, 0.593691713789749, 0.5691046850637203]"
openai-large,C1a,html_css,ordinal,none,0.5889747955919755,0.036150495611241486,0.8086280147132324,0.013669136563227635,0.19201808091345712,0.01417738357776196,0.5881390518343348,0.02792523680305561,0.6916902272456018,0.8700594674208567,0.6718769889583562,0.12227249874308699,0.03129411717297288,0.010212498129951796,0.02323505956420913,0.10359715937954483,6338,3072,100.6,"[0.5831520063121742, 0.5606727523938284, 0.6306635659682289, 0.6295370539264078, 0.5408485993592377]"
openai-large,C1b,react,nominal,concat,0.5725231509580151,0.01874372025073392,0.7041417102123362,0.008299622407433439,0.31161017729851936,0.008628756735180534,0.5102646935589765,0.01551711635508717,0.7446201386432321,0.7836639113019459,0.6177027031817459,0.14410585070513604,0.022990987984181473,0.005372419676021557,0.008542955120089103,0.054597516292019865,6338,6144,23.8,"[0.578938698437927, 0.5730827670063874, 0.5367772325252973, 0.5903373745074101, 0.5834796823130531]"
openai-large,C1b,react,ordinal,concat,0.6012143529618826,0.017830658157387422,0.7016777498283763,0.008726344838021163,0.3045140038691462,0.00999160983490404,0.5060469583530331,0.013861503880934987,0.7303498333046805,0.7760227045726119,0.6090905592585191,0.28939431471171906,0.02293484465330048,0.007832506142079152,0.006560415154870483,0.04433709524580872,6338,6144,246.9,"[0.5914917665629088, 0.6052493030552734, 0.6105946796527689, 0.6256743172131435, 0.5730616983253185]"
openai-large,C1b,react,nominal,average,0.5659628440451211,0.01594516273219355,0.6908219945825214,0.008095470449688195,0.32817779149933146,0.009637437676259691,0.48905671614173707,0.016485304391791362,0.7160618817488485,0.7662541173503571,0.6132532981549026,0.16828207892637664,0.00847936202456326,0.006650152985931043,0.019111689890282696,0.04345816142946413,6338,3072,13.2,"[0.576980627585511, 0.5577674884187016, 0.5388706029855018, 0.5833027589800626, 0.5728927422558289]"
openai-large,C1b,react,ordinal,average,0.5589090835363664,0.020214279267075724,0.6607941306996695,0.008113781458364994,0.3564194463187091,0.008941937669284172,0.43976310902736165,0.015036981888968423,0.6910728058174163,0.7415089957670968,0.5557745232905611,0.24728000927039123,0.036514653924370886,0.0030846144574412436,0.00608748542615983,0.045171276962988414,6338,3072,100.7,"[0.5224388401262466, 0.5638164006142986, 0.5620365738937815, 0.5848497877189691, 0.5614038153285361]"
openai-large,C1b,javascript,nominal,concat,0.5224096317249286,0.01637174896795593,0.7731343848438833,0.011398611765487726,0.2347746359292798,0.014214184231168981,0.5122750508014272,0.026718627051492125,0.706540534006266,0.8469923922358739,0.5201056006575738,0.016,0.02308311428741997,0.009168002996867092,0.03450743313678139,0.032,6338,6144,19.9,"[0.5012569599973277, 0.5338287503442516, 0.5201976730969301, 0.5098607968973637, 0.5469039782887692]"
openai-large,C1b,javascript,ordinal,concat,0.5651053193575623,0.023843521521106643,0.772561472633258,0.013670506516023648,0.22909216983410477,0.014341945587796669,0.501002540451695,0.03105830920771748,0.6877476078666276,0.8509474586421646,0.49986375505261715,0.22186245586883974,0.025527914570665104,0.01079584841341625,0.028300873748729975,0.11366295540989287,6338,6144,218.3,"[0.547021496279716, 0.5791223141607086, 0.5858768255221944, 0.586317217187495, 0.5271887436376974]"
