model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
openai-small,C1a,react,nominal,none,0.5954767308046668,0.015545059554979214,0.6998906397612337,0.013145129987396777,0.3161846832603407,0.012319280949704593,0.5044452061035688,0.023342113942405648,0.7326834430788857,0.7709291694488807,0.6151563333403998,0.26313797735050104,0.021285586451567383,0.00999800362796028,0.019410315801607562,0.041922512249367196,6338,1536,13.7,"[0.600127314137367, 0.5936045760908422, 0.5693190056632672, 0.6177868582621635, 0.5965458998696941]"
openai-small,C1a,react,ordinal,none,0.6015686865567804,0.016378410794245315,0.7015024592045721,0.01042903977433521,0.30340654169540315,0.008640928577192824,0.5063777853138496,0.016379103781262255,0.747264435687879,0.77348562755136,0.6074680188448267,0.2780566641430558,0.026145127217431383,0.008678599994309083,0.015125061658574152,0.05014904212084008,6338,1536,41.9,"[0.5935547202905207, 0.5856655886013177, 0.5994250781584946, 0.5961605422466434, 0.6330375034869257]"
openai-small,C1a,javascript,nominal,none,0.5379822758971577,0.019105376529511376,0.7638201032162946,0.011641575031590062,0.2483400516384116,0.013693974894419623,0.4983513344092577,0.022799433725574185,0.6908736080282669,0.8356314321607874,0.5206109276832153,0.10481313571636153,0.017372981318112612,0.009911769818249866,0.01769628004172715,0.07553444301923048,6338,1536,7.5,"[0.5257444094617254, 0.5090312902352938, 0.5394845697506678, 0.5529581236355557, 0.5626929864025462]"
openai-small,C1a,javascript,ordinal,none,0.5466476643264002,0.01265219718415697,0.7543080959328309,0.008981203466803419,0.2538630461683253,0.00897177920692658,0.4704601414976734,0.020581044521888015,0.6769076376817041,0.8338133824034083,0.4675153230321851,0.20835431418830316,0.014608759837323348,0.006913435614272419,0.024126376241933083,0.08681354362453962,6338,1536,46.2,"[0.5712423536787316, 0.534825303805609, 0.5420098859018808, 0.5418290332033731, 0.5433317450424066]"
openai-small,C1a,html_css,nominal,none,0.5753907491409668,0.01501809253786534,0.8072240024897177,0.017385508543184065,0.19895453379776365,0.01875907810436399,0.591652620993009,0.03393128233224109,0.7071680412505359,0.8635594959955177,0.6819465704289243,0.048888888888888885,0.04921574413643154,0.015415174888106498,0.025909349486792924,0.060287377627780164,6338,1536,7.1,"[0.5757060138143418, 0.5886932847864178, 0.5537435415532186, 0.5944024755478731, 0.5644084300029824]"
openai-small,C1a,html_css,ordinal,none,0.5778295265001125,0.03434313108391534,0.7918107712363927,0.011849860025410103,0.21063330503262884,0.011844736043801174,0.5544310166666017,0.025810651173335114,0.6806003991600466,0.8565900396157433,0.640010020165837,0.13411764705882354,0.010824453583296315,0.007987094003565452,0.02656839371478304,0.110262348365741,6338,1536,52.9,"[0.535586375403309, 0.6107929841158961, 0.5420022331255041, 0.6194259297438247, 0.5813401101120289]"
openai-small,C1b,react,nominal,concat,0.5652563100118395,0.02355344776444656,0.684635590241675,0.013476126096694628,0.33401611895259176,0.013292865215749475,0.4778610553892446,0.022524021788356115,0.7112303720224897,0.7606916085006913,0.6017977829013074,0.18730547662287017,0.02156145600974894,0.01060211082678163,0.015847461422986524,0.06496403711582731,6338,3072,13.2,"[0.582961513820905, 0.5670161996984368, 0.5282800293885123, 0.5956531476282667, 0.5523706595230774]"
openai-small,C1b,react,ordinal,concat,0.5627407997122669,0.007449033418378319,0.664109575156865,0.005923350793665492,0.34821730459442435,0.00542156715489504,0.4454328686368038,0.010681056529273014,0.7142332263835888,0.7416088114268812,0.5585197637753133,0.23660139726328389,0.009369682904221315,0.0045744591099233034,0.018327465305449177,0.02025490769018356,6338,3072,124.6,"[0.5647188849045461, 0.5702332292285692, 0.5484780192326448, 0.5640230742953352, 0.5662507909002389]"
openai-small,C1b,react,nominal,average,0.5413155780355476,0.017885756885951315,0.6575843937476065,0.007429268313654259,0.36336262165775735,0.00684122030618585,0.4344496045923754,0.01391951749690843,0.6854930785564957,0.7333252087484834,0.57286728135798,0.17357674347923086,0.009830155216349857,0.007068685572949179,0.014144073503618406,0.0515470912528914,6338,1536,9.0,"[0.5518711959251048, 0.5590080335519074, 0.5099513981783751, 0.552529992062927, 0.5332172704594231]"
openai-small,C1b,react,ordinal,average,0.5727546065757572,0.015365155482697238,0.6785824254665418,0.01053565582821322,0.3303843750233419,0.010267110269052549,0.4666285445258248,0.017230393995899925,0.7325652127761236,0.7540862094357654,0.5786677488990624,0.22569925519207762,0.011449873669074823,0.013096232918122785,0.011900984976896114,0.04649082377114757,6338,1536,32.0,"[0.5566299498625625, 0.5636579254241665, 0.5688592922896849, 0.6014306991764004, 0.5731951661259719]"
openai-small,C1b,javascript,nominal,concat,0.5220346006877822,0.02575230577906662,0.7626837378501685,0.01415589826662909,0.2456585391358907,0.01425432722307123,0.4896119374865341,0.029467301225875923,0.6816298284100759,0.838630913963887,0.5104417629412685,0.05743589743589743,0.028782211334992713,0.011014061383771253,0.018787154759376753,0.07064277069834898,6338,3072,9.5,"[0.48938572782057393, 0.5247208912208112, 0.49614624348846, 0.5524968446363087, 0.5474232962727573]"
openai-small,C1b,javascript,ordinal,concat,0.5298762890261797,0.011510226835047927,0.7502892812446584,0.007251704049615614,0.25891447294709924,0.008231212145972,0.4598887275390754,0.01733262437502305,0.6687179046721967,0.832800368155465,0.4555784857688412,0.16240839750821606,0.022514670051217073,0.006726947363522241,0.008719076076854815,0.04200650531726162,6338,3072,87.5,"[0.5267942994505495, 0.5162685491472679, 0.551058527821005, 0.5255112134377439, 0.5297488552743322]"
