model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
qwen3-0.6b,C1a,react,nominal,none,0.5504538676890408,0.013219377032141716,0.658194658171548,0.01031746190761252,0.37061926257161276,0.010810658471339673,0.4392654021485141,0.01773842626592459,0.6994305142615745,0.7283415808246152,0.5745457047217747,0.19949767094819865,0.016915899997785814,0.010169175024490041,0.015411344436662684,0.027468755758181924,6338,1024,8.8,"[0.5463557192690187, 0.5405180684020366, 0.5386599572166897, 0.5514177075667491, 0.5753178859907097]"
qwen3-0.6b,C1a,react,ordinal,none,0.5954769722715613,0.022480555673285788,0.6963987694493039,0.013279374642771066,0.3064013952828286,0.012341697116995691,0.493112580526368,0.022665539286003823,0.7229716300503259,0.7693646696046279,0.6075076920303151,0.28206389740097604,0.021025264482087365,0.009267038764072812,0.018186876066624665,0.05774399795123701,6338,1024,31.1,"[0.5795160823536002, 0.564939083085182, 0.597223458185997, 0.604908425976399, 0.6307978117566279]"
qwen3-0.6b,C1a,javascript,nominal,none,0.5118201264013742,0.020385258319175644,0.7262460123311586,0.006985696799653733,0.293154051274901,0.008368718167767483,0.4361694320638613,0.01231008738994645,0.6284842759923004,0.8006056232229088,0.4919734089535782,0.12621719743670962,0.011791078695821307,0.007429366633660387,0.018469736886286135,0.08123890247087137,6338,1024,8.3,"[0.5151227376897674, 0.4771571550747752, 0.5347132931839733, 0.5036961100914589, 0.5284113359668966]"
qwen3-0.6b,C1a,javascript,ordinal,none,0.529415841663079,0.020080059035797286,0.7673505710088497,0.011747257582310142,0.2295641110549523,0.012665198373311244,0.48475332349679084,0.023530609999890605,0.670074842506317,0.8517749865899775,0.484771439557402,0.11104209799861975,0.014555501689492004,0.00886404676392682,0.03182779808639082,0.0668046928916494,6338,1024,29.6,"[0.5431214490863183, 0.5034017322631302, 0.5466442678369112, 0.5064309581735212, 0.547480800955514]"
qwen3-0.6b,C1a,html_css,nominal,none,0.5406118381838072,0.023367071911121303,0.7725406548789284,0.009876297975889996,0.23635229646523373,0.010956407162607689,0.5251827114205478,0.020902897578375372,0.6411318986312453,0.8354176427982452,0.6388389877763266,0.047058823529411764,0.03328488004742918,0.007256133489217893,0.019955508658260207,0.09411764705882353,6338,1024,7.2,"[0.5820700295765471, 0.51783427593631, 0.540430767051643, 0.544037856250971, 0.5186862621035653]"
qwen3-0.6b,C1a,html_css,ordinal,none,0.5768792920847355,0.043328616887470875,0.7959690637079796,0.011132076723833293,0.20321744153331722,0.01071152762979449,0.558253393480898,0.024842754677581694,0.6784186660292167,0.861714613433721,0.6443069657990816,0.12307692307692308,0.04806613844756923,0.007098757371551014,0.020575356794728255,0.15073783032511867,6338,1024,27.2,"[0.6062096940472987, 0.5412543455347814, 0.5507584123330291, 0.6480858937175658, 0.5380881147910026]"
qwen3-0.6b,C1b,react,nominal,concat,0.5449883402201968,0.011497694419242704,0.6542880673635355,0.007900834071502461,0.3673074576921066,0.006894740701962329,0.4287765050344149,0.01425705738608398,0.6967588222152227,0.730477904635827,0.5591572744600346,0.19355935956970324,0.021105087348013536,0.007888643407687681,0.009468498504478843,0.05556532378919218,6338,2048,11.9,"[0.5402509511175501, 0.5449841814434665, 0.5298546755819736, 0.5652216293192468, 0.5446302636387474]"
qwen3-0.6b,C1b,react,ordinal,concat,0.5444050794876224,0.013666980136469938,0.6441349875594027,0.009847341820062293,0.3709338485555437,0.010671833531847266,0.41160991817329773,0.015180073542005118,0.6804457062468059,0.7254429223997955,0.5344748550632575,0.2372568342406307,0.02711250341777374,0.010104578941165412,0.017492908427685163,0.034490516234613876,6338,2048,65.9,"[0.5220775027053784, 0.544438701098739, 0.538459007590806, 0.5577174484610399, 0.5593327375821484]"
qwen3-0.6b,C1b,react,nominal,average,0.5309610541585048,0.015672257379906504,0.6402970708185617,0.009131411509537552,0.39286647959983967,0.010196443878040196,0.4110455906021125,0.016450734687456905,0.6624460841619941,0.7106102905679587,0.5638113955400652,0.18697644636400162,0.012617588198051555,0.00936162367312196,0.019309473841709387,0.05562059398150595,6338,1024,6.9,"[0.5089257322316588, 0.5182178253731171, 0.5330391263854584, 0.5518485796963941, 0.5427740071058962]"
qwen3-0.6b,C1b,react,ordinal,average,0.5530556924244056,0.011966337024453018,0.6748013535273193,0.00810402109523397,0.3284917550337492,0.009057457089305375,0.4574045268890372,0.014939861509180363,0.680434558411194,0.755788360938934,0.5907226173037496,0.18527723304374444,0.021269279353539516,0.008447891537623375,0.01595794163386089,0.04520029576581173,6338,1024,23.8,"[0.5572756287501127, 0.5398860227670431, 0.5519938898957688, 0.5734477399192501, 0.5426751807898529]"
