model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
qwen3-4b,C1a,react,nominal,none,0.5934221442290175,0.007999896068788188,0.7086729219649861,0.004257432384874002,0.3097185532281477,0.006447865178066997,0.517838202965319,0.007906610261112348,0.7324804174515567,0.7804076306917401,0.6326696143549515,0.2281309144178217,0.01228311161588491,0.0058393159179560596,0.009747717874725514,0.04275388513497201,6338,2560,19.3,"[0.5937408317791143, 0.5800277066912257, 0.5909564817986724, 0.6038035903383773, 0.5985821105376977]"
qwen3-4b,C1a,react,ordinal,none,0.5880532368802814,0.023054250309494657,0.6830043477868987,0.015169945876527724,0.327230049870655,0.016018342668245516,0.47636678723822357,0.025099927435201185,0.7251072611068455,0.7601104661977619,0.5767263876906328,0.2902688325258858,0.02454401833723912,0.01526717442396259,0.01588442475451334,0.059234276323568265,6338,2560,88.8,"[0.585157518623331, 0.5626944585332886, 0.5972255131328187, 0.6270887808085247, 0.5680999133034446]"
qwen3-4b,C1a,javascript,nominal,none,0.5186218092252348,0.020468698087516734,0.7617866239783903,0.010646008291091004,0.24739517327749544,0.011073871255914792,0.49076523122976046,0.023153321997109736,0.6626470956601842,0.8377030931049587,0.5300790771213038,0.044057971014492756,0.024541664349728674,0.00845765748498161,0.026158923608712286,0.055917243138724614,6338,2560,13.9,"[0.5011109952841634, 0.5163503673024767, 0.5125656945050098, 0.5049650398685739, 0.5581169491659504]"
qwen3-4b,C1a,javascript,ordinal,none,0.5361231591460763,0.012968713011198323,0.7468567058887399,0.009383882787076643,0.26001583511561377,0.008800840163761384,0.45190174841749864,0.01801419270107071,0.6502249941263337,0.8311687556729597,0.45526699645312163,0.2078318903318903,0.022194150801676256,0.009010618883471147,0.015050815018534988,0.07183130194466018,6338,2560,88.2,"[0.5585361169034858, 0.5310302519527615, 0.5275329077442039, 0.5417772937216403, 0.5217392254082901]"
qwen3-4b,C1a,html_css,nominal,none,0.5748448937437978,0.031714921118268354,0.8051358018974009,0.012628439125549104,0.1995910506698802,0.01485750200726164,0.5860301722001712,0.025825275431915658,0.6996609932971046,0.8636404652311487,0.6745396549084763,0.06153846153846154,0.02230843926421285,0.009966378531969274,0.025913812959669876,0.12307692307692308,6338,2560,12.8,"[0.6340693148779966, 0.5624968090328916, 0.5617347016905796, 0.5756708653570387, 0.5402527777604826]"
qwen3-4b,C1a,html_css,ordinal,none,0.5737856911218246,0.020137955105947476,0.7926708229103787,0.009625146238898185,0.20968855116161528,0.01019067956099175,0.554401040719394,0.019427320242271444,0.6866791227634119,0.858308759050909,0.6359631920106991,0.1141916906622789,0.0320872966227708,0.008837858732440843,0.01686778915936977,0.0968412112797892,6338,2560,88.0,"[0.5477482105690827, 0.5996363154567704, 0.5592037300300423, 0.5945825647916805, 0.5677576347615474]"
qwen3-4b,C1b,react,nominal,concat,0.567593253476099,0.01787333720353328,0.6904202015649751,0.01599517635658347,0.3319645253573483,0.0233092019650076,0.48916486826331085,0.027173639386490294,0.7010856974069438,0.7625056655712769,0.6231828036095841,0.18359884731659112,0.024267976712662013,0.016050225647568587,0.02234694301944704,0.025955644197459098,6338,5120,22.1,"[0.5774101800618, 0.5743368093476868, 0.5430663775843639, 0.5918512370897236, 0.5513016632969204]"
qwen3-4b,C1b,react,ordinal,concat,0.5819384959779056,0.015204670678025731,0.6791299698515824,0.013616368628532228,0.33101728168828226,0.014502756039473041,0.46966262108230233,0.022091589890708915,0.7171616154417956,0.7578140192437315,0.572563812067442,0.28021453715865285,0.02912914979789993,0.015045319755241877,0.029461119479486902,0.039153189563032355,6338,5120,168.7,"[0.60750378269671, 0.576473931920028, 0.5709256010105818, 0.5898422032918544, 0.5649469609703532]"
qwen3-4b,C1b,react,nominal,average,0.5639608697525326,0.010638935553872996,0.6828522245069937,0.01605102081287597,0.33653679050092244,0.018574223497808563,0.4766196494330643,0.027178146460663428,0.6871190586572131,0.7559753076838663,0.6130622812209289,0.19968683144812177,0.024010748813486932,0.016822992098140362,0.020299466736524222,0.025315352894848677,6338,2560,12.8,"[0.5657588215948952, 0.5586427950147729, 0.5467966265394549, 0.5707053137166557, 0.5779007918968841]"
qwen3-4b,C1b,react,ordinal,average,0.5516483878314057,0.016415603299387158,0.6533223377056039,0.01263104993335381,0.3592591854874651,0.013120155860339157,0.42682017722276455,0.0212112474647522,0.681610750470467,0.7420101964043104,0.5328782758007901,0.25009432865005543,0.01703490264000297,0.013393931996428729,0.012989417542251079,0.03435524068292835,6338,2560,89.9,"[0.5621412231414098, 0.5619206920653026, 0.5240647655979653, 0.5682416775431743, 0.5418735808091768]"
qwen3-4b,C1b,javascript,nominal,concat,0.5176265322538469,0.020042116706662765,0.7486648122546498,0.01077122866743243,0.25844178478683594,0.013957153025747836,0.46007701449495053,0.024957316204928512,0.6405944306574518,0.8301580872987799,0.49175671664921883,0.10799689440993787,0.01941709117379468,0.0098110758333281,0.02872625830132872,0.06797071414946297,6338,5120,18.3,"[0.4784244080145719, 0.5306897199272416, 0.5302149147773151, 0.5193667987800177, 0.5294368197700889]"
qwen3-4b,C1b,javascript,ordinal,concat,0.5499745470932312,0.019107036075316598,0.7550285113717102,0.0083232746105761,0.24771162660996565,0.006669656419058158,0.4657126477638632,0.020808544858002303,0.6396568280111739,0.838284558040322,0.4877687681333948,0.2341880341880342,0.013005699382521234,0.004991074488217522,0.03335929686081756,0.057360552942094065,6338,5120,167.5,"[0.5347921925275813, 0.5650586194639251, 0.5246499050130682, 0.5768786300711821, 0.5484933883903993]"
