model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,kappa_mean,kappa_std,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean,f1_not_exp_std,f1_junior_std,f1_midlevel_std,f1_senior_std,n_samples,feature_dim,elapsed_s,_macro_f1_folds
voyage,C1a,react,nominal,none,0.6136991234650789,0.0157531191040221,0.7125155849848703,0.014591993317379467,0.30466986522723144,0.017339669499518182,0.5279374200821636,0.02185515616214429,0.727281771929078,0.7779632864671348,0.6413637062328956,0.3081877292312075,0.015765330926449793,0.0168322714927284,0.015706284304661863,0.03155810896019143,6338,1024,8.8,"[0.6291942326926491, 0.5883315016665165, 0.6059467055973561, 0.6309309144459728, 0.6140922629229002]"
voyage,C1a,react,ordinal,none,0.6489959127787446,0.011147173931543288,0.7444776169025442,0.011233362297723017,0.2562298481970127,0.012104775727095087,0.5775184349587124,0.01773291754064333,0.7797526738273568,0.8058409433990537,0.6724020597548633,0.3379879741337044,0.01886919148340257,0.010919476653107645,0.020802967355065236,0.025005938693256295,6338,1024,34.7,"[0.6395593908571902, 0.6471938571395108, 0.65206927821641, 0.6374865150695218, 0.66867052261109]"
voyage,C1a,javascript,nominal,none,0.5416759688792329,0.02429304311520411,0.7611705668898047,0.00748072619634915,0.25465144072164303,0.010690829598402158,0.5007692629434175,0.013845164601094969,0.6928158868329171,0.8305259820586495,0.5244113251746839,0.11895068145068147,0.019134214617234455,0.0061079438774198054,0.01059920178868345,0.07924287446010934,6338,1024,10.5,"[0.5351986903272492, 0.501701427401173, 0.5687842404947668, 0.5374032855396541, 0.5652922006333216]"
voyage,C1a,javascript,ordinal,none,0.5853760676789755,0.04400221655385293,0.7890321785593961,0.008796007163415531,0.209056266946188,0.008918444473871669,0.5362479951255334,0.020693386659803813,0.7277458209736019,0.8636286907275258,0.5102778235106648,0.2398519355041094,0.02382358748668536,0.005406427306461242,0.030618422751938212,0.14747275686783595,6338,1024,35.7,"[0.5704078785381902, 0.5618787912607337, 0.6712302163491588, 0.5473459642733155, 0.5760174879734792]"
voyage,C1a,html_css,nominal,none,0.5828948801413515,0.008377671948279089,0.8093235709143004,0.008302470152130105,0.198326357749123,0.008964263481336245,0.600224383388295,0.018877446307452028,0.7008060451714458,0.863021137884831,0.6966038781253755,0.0711484593837535,0.03070572331475272,0.005853971586672283,0.016640923697566444,0.06001461844635105,6338,1024,7.7,"[0.5858373240474541, 0.5782656129465119, 0.5714648778108358, 0.5822363567927247, 0.5966702291092307]"
voyage,C1a,html_css,ordinal,none,0.6125847188495547,0.03312725824462287,0.8244589291008385,0.01916618027195955,0.17497802753218689,0.01845921645884474,0.6209069446727467,0.04256069646512195,0.7234627848964684,0.8815446780343603,0.6946903868263645,0.15064102564102563,0.02179153516007083,0.01248254703583257,0.04432090315137654,0.09826736997920443,6338,1024,30.6,"[0.6008103051981478, 0.6754288903512244, 0.6136111557741086, 0.5910637153255445, 0.582009527598748]"
voyage,C1b,react,nominal,concat,0.5774165217006324,0.008728462842090588,0.691448447617278,0.006043200741224325,0.3253387992699912,0.004360716975499126,0.49069842954709,0.008777386506701951,0.715147208851652,0.7666606925672961,0.6077246703749402,0.22013351500864156,0.010107429917783012,0.011560309082019124,0.005002599269216899,0.0548107652103174,6338,2048,15.5,"[0.5610995266309595, 0.5845664036056174, 0.5828291515611427, 0.5829829735745884, 0.5756045531308542]"
voyage,C1b,react,ordinal,concat,0.6039951560691237,0.008831519397781798,0.6980001123616149,0.009984861531938956,0.3079829150057639,0.011028948089898308,0.5011507117950492,0.014514300946247626,0.7418619221339532,0.7708803553024156,0.5989764575668151,0.30426188927331055,0.016621413489434644,0.011403505626679614,0.01852635821946374,0.03368207765448673,6338,2048,73.1,"[0.6156861469117006, 0.6138126067980164, 0.5965522536712655, 0.5981026882944013, 0.5958220846702345]"
voyage,C1b,react,nominal,average,0.5791893385699788,0.013840278392543388,0.6840703399230792,0.011955624846053621,0.3392219132106195,0.014274880310024825,0.4815121241535783,0.018321395410302383,0.7118964481069723,0.7526146693612302,0.606276755337055,0.24596948147465794,0.013884407171133619,0.01134838488532649,0.021614940108160192,0.032551666236496204,6338,1024,7.1,"[0.5822196551590351, 0.5528318211973481, 0.5806015474136093, 0.592569355907776, 0.5877243131721258]"
voyage,C1b,react,ordinal,average,0.609748970087441,0.01170694173891535,0.7160298245344728,0.011676935664579242,0.2849491707727586,0.01238479484115553,0.5280707562298025,0.020937015130431967,0.7414186863812771,0.7876064497057198,0.6339318850908771,0.2760388591718899,0.010157248444943732,0.011708219111710742,0.020101474946370903,0.0467832176225843,6338,1024,28.6,"[0.6105850303827648, 0.588304103047893, 0.6217474672050296, 0.618725765737576, 0.6093824840639417]"
