decile,n,pass_rate,duration_sec_mean,duration_sec_ci_lo,duration_sec_ci_hi,duration_min_mean,duration_min_ci_lo,duration_min_ci_hi,n_tokens_mean,n_tokens_ci_lo,n_tokens_ci_hi,candidate_words_mean,candidate_words_ci_lo,candidate_words_ci_hi,n_messages_mean,n_messages_ci_lo,n_messages_ci_hi
1,623,0.21187800963081863,2272.9695024077046,2197.591515472224,2348.3474893431853,37.88282504012841,36.6265252578704,39.13912482238642,1989.426966292135,1947.714221133726,2031.139711450544,1333.0529695024077,1298.9222678968742,1367.183671107941,18.67897271268058,18.220080701466927,19.137864723894232
2,623,0.13001605136436598,2328.0577849117176,2256.4423331677453,2399.67323665569,38.80096308186196,37.60737221946242,39.9945539442615,1938.8796147672551,1902.7473774346622,1975.011852099848,1288.314606741573,1257.0844245801084,1319.5447889030377,19.686998394863565,19.24721839117938,20.12677839854775
3,623,0.06260032102728733,2390.8507223113966,2321.626672912385,2460.074771710408,39.84751203852328,38.69377788187308,41.00124619517347,1948.4044943820224,1911.5082562560563,1985.3007325079886,1267.7977528089887,1235.629663432194,1299.9658421857832,20.8330658105939,20.396229862298114,21.269901758889688
4,622,0.027331189710610933,2415.144694533762,2344.8993183735533,2485.3900706939708,40.252411575562704,39.08165530622589,41.42316784489952,1961.443729903537,1926.1948589211775,1996.6926008858964,1258.983922829582,1228.7457881122582,1289.222057546906,21.919614147909968,21.450754233370237,22.3884740624497
5,623,0.016051364365971106,2444.494382022472,2368.460260374054,2520.52850367089,40.741573033707866,39.4743376729009,42.00880839451483,1856.9229534510434,1825.711654428805,1888.1342524732818,1149.1043338683787,1121.7465615398237,1176.4621061969337,22.698234349919744,22.206031397265804,23.190437302573685
6,623,0.004815409309791332,2464.1412520064205,2382.4408591819915,2545.8416448308494,41.06902086677368,39.707347653033196,42.43069408051416,1859.2086677367577,1825.5063600924166,1892.9109753810988,1112.314606741573,1083.2163984051265,1141.4128150780195,24.8876404494382,24.337349411465322,25.43793148741108
7,622,0.001607717041800643,2499.935691318328,2415.746303295251,2584.1250793414047,41.665594855305464,40.26243838825418,43.068751322356746,1787.0112540192927,1756.2631519922072,1817.7593560463781,1024.8697749196142,999.1485364745779,1050.5910133646505,25.786173633440516,25.144527501131797,26.427819765749234
8,623,0.0,2439.1011235955057,2353.1107699306285,2525.091477260383,40.651685393258425,39.21851283217714,42.08485795433971,1711.7351524879614,1680.129847928561,1743.3404570473617,901.3836276083467,877.5888811307648,925.1783740859287,28.252006420545747,27.532688837859073,28.97132400323242
9,623,0.0,2385.1685393258426,2297.590744828813,2472.746333822872,39.752808988764045,38.29317908048022,41.21243889704787,1638.3242375601926,1605.0496275021692,1671.598847618216,785.0176565008026,761.8379628236577,808.1973501779474,30.781701444622794,29.93830888780436,31.625094001441227
10,623,0.0,2335.666131621188,2236.9241099673695,2434.4081532750065,38.92776886035313,37.28206849945616,40.57346922125011,1408.6324237560193,1370.1656241512342,1447.0992233608044,456.87479935794545,432.35585632468644,481.39374239120446,37.69181380417336,36.415893259999905,38.96773434834681
