decile,n,pass_rate,duration_sec_mean,duration_sec_ci_lo,duration_sec_ci_hi,duration_min_mean,duration_min_ci_lo,duration_min_ci_hi,n_tokens_mean,n_tokens_ci_lo,n_tokens_ci_hi,candidate_words_mean,candidate_words_ci_lo,candidate_words_ci_hi,n_messages_mean,n_messages_ci_lo,n_messages_ci_hi
1,619,0.1680129240710824,2333.796445880452,2263.478064169023,2404.1148275918813,38.896607431340875,37.72463440281706,40.06858045986469,1943.9483037156704,1906.4106625922643,1981.4859448390764,1263.9757673667204,1231.422414412704,1296.5291203207369,20.431340872374797,19.93205080276033,20.930630941989264
2,619,0.09208400646203554,2342.617124394184,2271.5781999738483,2413.6560488145196,39.04361873990307,37.859636666230806,40.22760081357533,1936.8239095315025,1900.237637649349,1973.4101814136561,1233.9903069466882,1200.8206142020667,1267.1599996913096,21.901453957996768,21.25768756031345,22.545220355680087
3,619,0.0630048465266559,2353.3764135702745,2276.3942816036656,2430.3585455368834,39.22294022617125,37.93990469339443,40.50597575894806,1898.6365105008078,1862.9295793891904,1934.3434416124253,1173.302100161551,1139.6322086922319,1206.97199163087,23.126009693053312,22.480888701900167,23.771130684206458
4,619,0.050080775444264945,2417.6413570274635,2334.982242600983,2500.300471453944,40.29402261712439,38.91637071001638,41.6716745242324,1845.43295638126,1808.4275112158402,1882.4384015466799,1129.0145395799677,1094.083260473508,1163.9458186864274,23.269789983844912,22.6006309252444,23.938949042445426
5,619,0.033925686591276254,2382.746365105008,2306.245296290327,2459.247433919689,39.7124394184168,38.43742160483878,40.98745723199482,1813.3004846526655,1773.7220630945865,1852.8789062107446,1056.0872374798062,1020.1765521791494,1091.9979227804629,25.37479806138934,24.541094909578433,26.208501213200243
6,618,0.01779935275080906,2400.4854368932038,2318.0839860559777,2482.88688773043,40.00809061488673,38.63473310093296,41.3814481288405,1830.6423948220065,1794.872687390852,1866.412102253161,1043.2961165048544,1010.5434973119986,1076.04873569771,26.65695792880259,25.76150272079626,27.552413136808923
7,619,0.014539579967689823,2481.324717285945,2392.9364436731544,2569.712990898736,41.35541195476575,39.88227406121924,42.82854984831226,1775.1502423263328,1738.6903904013122,1811.6100942513533,978.7980613893376,945.2881991835961,1012.307923595079,27.37479806138934,26.483539211862375,28.2660569109163
8,619,0.009693053311793215,2340.387722132472,2260.4964015960663,2420.2790426688775,39.0064620355412,37.67494002660111,40.33798404448129,1753.967689822294,1718.11382413011,1789.821555514478,970.1340872374798,937.2127233969766,1003.055451077983,27.087237479806138,26.25233658701475,27.922138372597527
9,619,0.006462035541195477,2482.2940226171245,2390.8707527797633,2573.7172924544857,41.37156704361874,39.84784587966272,42.89528820757476,1723.4991922455574,1686.4941054926287,1760.5042789984861,915.297253634895,881.3568391392939,949.2376681304961,28.324717285945074,27.454191964379476,29.19524260751067
10,619,0.0016155088852988692,2423.7479806138936,2338.3587068793167,2509.1372543484704,40.39579967689822,38.97264511465527,41.81895423914117,1622.631663974152,1587.5507274434237,1657.7126005048801,833.2148626817448,801.4612084359671,864.9685169275224,28.54281098546042,27.651085275073957,29.434536695846884
