model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
voyage,C1a,html_css,ordinal,none,0.6125847188495547,0.0331272582446228,0.8244589291008385,0.1749780275321868,0.6209069446727467,0.7234627848964684,0.8815446780343603,0.6946903868263645,0.1506410256410256
gemini,C2a,html_css,ordinal,none,0.6077871297320242,0.0121816391847026,0.8114976737300896,0.1904364367006192,0.5973418207458441,0.6967781056341598,0.870140874315896,0.6817321189574013,0.1824974200206398
openai-large,C2a,html_css,nominal,none,0.6042803894819887,0.0148026827091097,0.8410230272813148,0.1617214712714652,0.6611634427376927,0.734724887580515,0.8904617280244983,0.7434055305582354,0.0485294117647058
gemini,C1a,html_css,ordinal,none,0.603782195712433,0.038101176438338,0.8083568312057261,0.1937527232166199,0.5900175368798158,0.7057063678675377,0.8679181955228626,0.6698531822328461,0.1716510372264847
qwen3-8b,C2a,html_css,nominal,none,0.6021268390147966,0.0337124338909773,0.8235392467501473,0.1795497947161505,0.6244821741914732,0.718333692790625,0.8769684495965233,0.709675801907332,0.1035294117647059
gemini,C2b,html_css,ordinal,concat,0.5997219840715766,0.0274878088338398,0.8104299434324128,0.1912263251327684,0.5939039225868377,0.7156736335324272,0.8701669060552313,0.6683277544557866,0.144719642242862
openai-large,C1b,html_css,ordinal,concat,0.596754939868277,0.0216224636865386,0.8119769229244103,0.1879146447431648,0.5925774584461504,0.7095400585964027,0.873422566624766,0.6679460231408278,0.1361111111111111
kalm-12b,C1a,html_css,nominal,none,0.5902252498847022,0.0178882268857107,0.8260454719951029,0.1782904548612062,0.631073740666635,0.7342321482449835,0.8781680066345103,0.7121372082956783,0.0363636363636363
qwen3-0.6b,C2a,html_css,ordinal,none,0.5898163804007478,0.0254539399367143,0.8020809275961891,0.1967494441525848,0.5701782723370303,0.6936445544230977,0.8675325448141858,0.646421755699041,0.1516666666666666
gemini,C1b,html_css,ordinal,concat,0.5895520211844598,0.0136500203150677,0.8060683381258963,0.1950143038898115,0.5844341729554048,0.7135148120768005,0.8672025919532516,0.6586911469082535,0.1187995337995338
voyage,C2a,html_css,nominal,none,0.5894901159007271,0.0311936044190333,0.81227610153644,0.1942206807605835,0.6061535173173722,0.703608809223574,0.8654759220308345,0.700963644436412,0.0879120879120879
openai-large,C1a,html_css,ordinal,none,0.5889747955919755,0.0361504956112414,0.8086280147132324,0.1920180809134571,0.5881390518343348,0.6916902272456018,0.8700594674208567,0.6718769889583562,0.1222724987430869
openai-large,C2b,html_css,ordinal,concat,0.5887479751080443,0.0279867809025711,0.8140634434837534,0.185704575501881,0.5992449097467599,0.7084699863564283,0.8741172771075781,0.6775328420963761,0.0948717948717948
qwen3-8b,C1b,html_css,ordinal,concat,0.5880693570345464,0.0208113070950073,0.8119379620056147,0.1871263746797497,0.5935165555973136,0.7017273705182167,0.8727289121179161,0.6747908424717497,0.103030303030303
voyage,C2b,html_css,ordinal,average,0.5880061072950855,0.0419615137836722,0.8026943460116158,0.1959583108214093,0.5726249404727684,0.7008978266369141,0.8663148673399774,0.6506703210620369,0.1341414141414141
kalm-12b,C1b,html_css,ordinal,concat,0.5879875559227897,0.0491342075749751,0.8109554166227193,0.1877561690971245,0.5923485013064973,0.704055011915363,0.8721533739511713,0.6707418378246244,0.105
kalm-12b,C2a,html_css,nominal,none,0.5856418444545056,0.0096421434559337,0.8314372057638029,0.1711880569367018,0.6411423723557783,0.741165267414556,0.8836044027483888,0.7177977076550781,0.0
cohere,C1a,html_css,nominal,none,0.5849879566723268,0.0335000660589419,0.7822272670708669,0.2226245459230801,0.5411252850379047,0.6682466897712181,0.8433421013357574,0.6427220099413063,0.1856410256410256
openai-small,C2a,html_css,nominal,none,0.5849118650363674,0.0349024353223709,0.8114748234003331,0.1932771717885962,0.6006261124619137,0.6991804046558424,0.867255351994282,0.6932117034953451,0.08
qwen3-8b,C1a,html_css,ordinal,none,0.5818159278802337,0.0241391835130061,0.8055383022359297,0.1940679316500638,0.5803797970758874,0.7012531727211327,0.8685105100394317,0.6579588681665784,0.0995411605937921
kalm-12b,C2b,html_css,ordinal,concat,0.5814988041572507,0.0212223245502549,0.8009840233692209,0.1988021581569519,0.5712406116811029,0.6921930425501346,0.8646900248842501,0.6524454825279516,0.1166666666666666
cohere,C2b,html_css,ordinal,concat,0.5803072876930522,0.0449516996141842,0.7868353528973661,0.214577145147757,0.5422732948060861,0.6850115279302992,0.8534356285633811,0.6234169149134493,0.1593650793650793
qwen3-8b,C2b,html_css,nominal,concat,0.5786640835417753,0.0164471139801073,0.8129610732364542,0.1912280679914052,0.6040523417149501,0.712343978677527,0.8691481782241048,0.6887197328210248,0.0444444444444444
openai-small,C1a,html_css,ordinal,none,0.5778295265001125,0.0343431310839153,0.7918107712363927,0.2106333050326288,0.5544310166666017,0.6806003991600466,0.8565900396157433,0.640010020165837,0.1341176470588235
qwen3-0.6b,C1a,html_css,ordinal,none,0.5768792920847355,0.0433286168874708,0.7959690637079796,0.2032174415333172,0.558253393480898,0.6784186660292167,0.861714613433721,0.6443069657990816,0.123076923076923
openai-large,C4,html_css,ordinal,none,0.5767383142768191,0.0393013048956578,0.7862370954165808,0.2163148996984854,0.542151541511567,0.6485484081314825,0.8524871441955517,0.6410692199317574,0.1648484848484848
cohere,C2a,html_css,nominal,none,0.5761544660537894,0.0361160554585558,0.794814171664685,0.2115789303329607,0.5658734509479721,0.7043513486042167,0.8553345022895795,0.6488793817424137,0.0960526315789473
qwen3-4b,C1a,html_css,nominal,none,0.5748448937437978,0.0317149211182683,0.8051358018974009,0.1995910506698802,0.5860301722001712,0.6996609932971046,0.8636404652311487,0.6745396549084763,0.0615384615384615
openai-small,C1b,html_css,nominal,concat,0.5702286553994642,0.0123786205057237,0.809886110680211,0.1940648194024982,0.5958317278745724,0.7026929483360459,0.8669377779539378,0.6862838953078729,0.025
cohere,C1b,html_css,ordinal,concat,0.5689968793350874,0.0130004488769245,0.7720979808551933,0.2300381686041445,0.5106748212806098,0.6495517928068305,0.8432715381421623,0.6019154763810367,0.1812487100103199
qwen3-4b,C2a,html_css,nominal,none,0.5684581475389792,0.0174414439029662,0.8036266724681578,0.2006926618181999,0.5846405410997224,0.6763999207888778,0.8614901306332344,0.6859425387338048,0.05
openai-small,C3,html_css,nominal,none,0.568002171498239,0.0257731723329013,0.7990735749833495,0.2062175236966529,0.5734899761774994,0.6801981069763925,0.8584311725745828,0.6718409449035192,0.0615384615384615
qwen3-0.6b,C2b,html_css,ordinal,average,0.5676112788919889,0.0393295220797592,0.7799433367819786,0.2178906928859,0.5228325990477306,0.655634478912168,0.8504619595039455,0.6138436266467919,0.1505050505050505
voyage,C1b,html_css,ordinal,average,0.5648763470753542,0.0248130750819487,0.7977262315583321,0.2005353065812832,0.5627333786625686,0.6916681156026853,0.8633903060051293,0.6425422047888402,0.0619047619047619
openai-small,C2b,html_css,ordinal,concat,0.5626280687997214,0.0169795938409908,0.7835902388251834,0.2188393059438949,0.5363115379824519,0.664903373015873,0.8510601086662621,0.6266122855802423,0.1079365079365079
openai-large,C3,html_css,ordinal,none,0.5620880775044717,0.0241667194619325,0.7975532894879371,0.2044798936358272,0.5656147269929217,0.6692159535178096,0.8620690979003518,0.6570672585997248,0.06
openai-small,C4,html_css,nominal,none,0.5617057941564656,0.0091423777783283,0.799093934569236,0.204480267105535,0.5748143855875567,0.6913988586191733,0.8589052112985005,0.6657498759389576,0.0307692307692307
qwen3-4b,C1b,html_css,ordinal,concat,0.5572850462870325,0.0290859453625858,0.7925406231083321,0.2077964291316331,0.5535291158057081,0.6682069658613904,0.8584175394636459,0.6453728226802363,0.0571428571428571
jina-v5-small,C1a,html_css,ordinal,none,0.5547202852018686,0.0258931871304936,0.7861356412985901,0.2128411334556654,0.5363573745935161,0.6691443496421852,0.8552735569433286,0.62369400345273,0.0707692307692307
jina-v5-small,C2a,html_css,ordinal,none,0.5540241625538932,0.0176046901427779,0.786879003596012,0.2125249291030004,0.5387005063815413,0.6838733340460589,0.856506117795463,0.6163765390333917,0.0593406593406593
voyage,C4,html_css,ordinal,none,0.5516172351343218,0.0336423765605983,0.7776493818061091,0.2196264555981864,0.5155367642791255,0.6397557854374375,0.8505355654028726,0.6111775896969771,0.105
qwen3-4b,C2b,html_css,nominal,average,0.5479924662054538,0.0245033250756224,0.7781230576026328,0.2279896872564666,0.5310448608343894,0.648583191765677,0.8430187597591802,0.6362653491943937,0.0641025641025641
qwen3-0.6b,C1b,html_css,ordinal,average,0.5441413069062365,0.0286805903371283,0.7739828946802425,0.2234136874158137,0.5080840935560418,0.6321490868502755,0.8479126661021027,0.6060272841963774,0.0904761904761904
voyage,C3,html_css,ordinal,none,0.5403789918753132,0.0143041920319364,0.7810989537661148,0.2164741222839415,0.5251375021168538,0.6679047596912369,0.8523489164783239,0.6104930605624614,0.0307692307692307
qwen3-8b,C3,html_css,ordinal,none,0.5398298764937446,0.0317413227298876,0.7573351634333768,0.244243337922861,0.4806232011534589,0.6380463325584034,0.8317656147619665,0.5757820684585295,0.1137254901960784
