model,C1a,C1b,C2a,C2b,C3,C4,mean
openai-large,0.579,0.553,0.593,0.572,0.524,0.525,0.558
qwen3-8b,0.568,0.551,0.59,0.567,0.534,0.519,0.555
voyage,0.579,0.552,0.585,0.552,0.526,0.514,0.551
gemini,0.582,0.55,0.578,0.563,0.513,0.521,0.551
kalm-12b,0.577,0.55,0.587,0.557,0.517,0.517,0.551
openai-small,0.57,0.553,0.568,0.545,0.52,0.528,0.547
qwen3-4b,0.562,0.544,0.555,0.534,0.511,0.5,0.534
cohere,0.558,0.525,0.561,0.531,0.49,0.492,0.526
qwen3-0.6b,0.534,0.524,0.544,0.525,0.491,0.498,0.519
jina-v5-small,0.528,0.516,0.518,0.505,0.492,0.473,0.505
