model,C1a,C1b,C2a,C2b,C3,C4,mean
voyage,0.616,0.574,0.615,0.581,0.56,0.55,0.582
gemini,0.594,0.574,0.602,0.584,0.538,0.535,0.571
openai-large,0.583,0.588,0.579,0.597,0.522,0.52,0.565
qwen3-8b,0.586,0.582,0.594,0.58,0.523,0.516,0.563
kalm-12b,0.585,0.575,0.595,0.586,0.52,0.51,0.562
openai-small,0.575,0.554,0.578,0.557,0.534,0.538,0.556
qwen3-0.6b,0.567,0.539,0.574,0.561,0.535,0.54,0.553
cohere,0.559,0.548,0.566,0.551,0.502,0.511,0.539
qwen3-4b,0.566,0.563,0.556,0.538,0.515,0.49,0.538
jina-v5-small,0.554,0.529,0.552,0.511,0.523,0.501,0.528
