model,C1a,C1b,C2a,C2b,C3,C4,mean
voyage,0.616,0.574,0.617,0.581,0.56,0.55,0.583
gemini,0.594,0.574,0.602,0.584,0.539,0.535,0.571
openai-large,0.584,0.588,0.593,0.597,0.529,0.53,0.57
qwen3-8b,0.586,0.582,0.597,0.581,0.536,0.519,0.567
kalm-12b,0.59,0.575,0.596,0.586,0.525,0.519,0.565
openai-small,0.575,0.558,0.584,0.557,0.539,0.546,0.56
qwen3-0.6b,0.567,0.539,0.574,0.561,0.535,0.54,0.553
qwen3-4b,0.568,0.563,0.561,0.542,0.519,0.503,0.543
cohere,0.566,0.548,0.567,0.551,0.502,0.511,0.541
jina-v5-small,0.554,0.532,0.552,0.512,0.523,0.501,0.529
